,RMNH.INS.1271298_An_messeae - ND4 CDS,RMNH.INS.1271299_An_messeae - ND4 CDS,RMNH.INS.1271300_An_messeae - ND4 CDS,RMNH.INS.1271301_Cq_richiardii - ND4 CDS,RMNH.INS.1271302_Cq_richiardii - ND4 CDS,RMNH.INS.1271303_Cq_richiardii - ND4 CDS,RMNH.INS.1271304_Ae_vexans - ND4 CDS,RMNH.INS.1271305_Ae_vexans - ND4 CDS,RMNH.INS.1271306_Ae_vexans - ND4 CDS,RMNH.INS.1271307_Cs_annulata - ND4 CDS,RMNH.INS.1271308_Cs_annulata - ND4 CDS,RMNH.INS.1271309_Cs_annulata - ND4 CDS,RMNH.INS.1271310_An_claviger - ND4 CDS,RMNH.INS.1271311_An_claviger - ND4 CDS,RMNH.INS.1271312_An_claviger - ND4 CDS,RMNH.INS.1271313_Cx_modestus - ND4 CDS,RMNH.INS.1271314_Cx_modestus - ND4 CDS,RMNH.INS.1271315_Cx_modestus - ND4 CDS,RMNH.INS.1271316_Cx_territans - ND4 CDS,RMNH.INS.1271317_Cx_territans - ND4 CDS,RMNH.INS.1271318_Cx_territans - ND4 CDS,RMNH.INS.1271319_Ae_cinereus_geminus - ND4 CDS,RMNH.INS.1271320_Ae_cinereus_geminus - ND4 CDS,RMNH.INS.1271321_Ae_cinereus_geminus - ND4 CDS,RMNH.INS.1271322_Cs_longiareolata - ND4 CDS,RMNH.INS.1271323_Cs_longiareolata - ND4 CDS,RMNH.INS.1271324_Cs_longiareolata - ND4 CDS,RMNH.INS.1271325_Ae_annulipes_cantans - ND4 CDS,RMNH.INS.1271326_Ae_annulipes_cantans - ND4 CDS,RMNH.INS.1271327_Ae_annulipes_cantans - ND4 CDS,RMNH.INS.1271328_Ae_annulipes_cantans - ND4 CDS,RMNH.INS.1271329_Ae_annulipes_cantans - ND4 CDS,RMNH.INS.1271330_Ae_annulipes_cantans - ND4 CDS,RMNH.INS.1271331_Ae_rusticus - ND4 CDS,RMNH.INS.1271332_Ae_rusticus - ND4 CDS,RMNH.INS.1271333_Ae_rusticus - ND4 CDS,RMNH.INS.1271334_Ae_communis - ND4 CDS,RMNH.INS.1271335_Ae_communis - ND4 CDS,RMNH.INS.1271336_Ae_communis - ND4 CDS,RMNH.INS.1271337_Ae_punctor - ND4 CDS,RMNH.INS.1271338_Ae_rusticus - ND4 CDS,RMNH.INS.1271339_Ae_punctor - ND4 CDS,RMNH.INS.1271340_Ae_geniculatus - ND4 CDS,RMNH.INS.1271341_Ae_geniculatus - ND4 CDS,RMNH.INS.1271342_Ae_geniculatus - ND4 CDS,RMNH.INS.1271344_Cs_subochrea - ND4 CDS,RMNH.INS.1271345_Cs_annulata - ND4 CDS,RMNH.INS.1271346_Ae_caspius - ND4 CDS,RMNH.INS.1271347_Ae_caspius - ND4 CDS,RMNH.INS.1271348_Ae_caspius - ND4 CDS,RMNH.INS.1271349_An_plumbeus - ND4 CDS,RMNH.INS.1271350_An_plumbeus - ND4 CDS,RMNH.INS.1271351_An_plumbeus - ND4 CDS,RMNH.INS.1271352_Cs_annulata - ND4 CDS,RMNH.INS.1271354_Cs_annulata - ND4 CDS,RMNH.INS.1271355_Cx_pipiens - ND4 CDS,RMNH.INS.1271356_Cx_pipiens - ND4 CDS,RMNH.INS.1271357_Cx_pipiens - ND4 CDS,RMNH.INS.1271358_Cs_morsitans - ND4 CDS,RMNH.INS.1271359_Cs_morsitans - ND4 CDS,RMNH.INS.1271360_Cs_morsitans - ND4 CDS,RMNH.INS.1271361_Ae_sticticus - ND4 CDS,RMNH.INS.1271362_Ae_sticticus - ND4 CDS,RMNH.INS.1271363_Ae_sticticus - ND4 CDS,RMNH.INS.1271367_Ae_detritus - ND4 CDS,RMNH.INS.1271368_Ae_detritus - ND4 CDS,RMNH.INS.1271369_Ae_caspius - ND4 CDS,RMNH.INS.1271370_Ae_flavescens - ND4 CDS,RMNH.INS.1271371_Ae_flavescens - ND4 CDS,RMNH.INS.1271372_Ae_flavescens - ND4 CDS,RMNH.INS.1271375_Ae_leucomelas - ND4 CDS,RMNH.INS.1271376_Ae_albopictus - ND4 CDS,RMNH.INS.1271377_Ae_albopictus - ND4 CDS,RMNH.INS.1271378_Ae_albopictus - ND4 CDS,RMNH.INS.1271379_Ae_japonicus - ND4 CDS,RMNH.INS.1271380_Ae_japonicus - ND4 CDS,RMNH.INS.1271381_Ae_japonicus - ND4 CDS,RMNH.INS.1271382_Ae_aegypti - ND4 CDS,RMNH.INS.1271383_Ae_aegypti - ND4 CDS,RMNH.INS.1271384_Ae_aegypti - ND4 CDS,RMNH.INS.1271386_Ae_cinereus_geminus - ND4 CDS,RMNH.INS.1271389_Cs_ochroptera - ND4 CDS
RMNH.INS.1271308_Cs_annulata - ND4 CDS,83.607,83.681,83.681,85.119,85.193,85.193,89.732,89.732,89.658,99.777,,99.702,83.979,84.054,84.054,87.946,88.616,88.839,87.128,87.054,87.054,89.137,89.063,89.137,89.658,89.658,89.658,90.402,90.179,90.179,90.476,90.030,90.179,90.625,90.699,90.625,89.732,89.881,89.807,89.137,90.699,89.137,88.988,89.063,88.988,95.908,100.000,91.146,91.146,91.146,84.575,84.575,84.575,99.926,100.000,88.690,88.690,88.690,88.839,88.839,88.839,89.286,89.286,89.286,90.625,90.030,91.146,90.253,90.253,90.179,89.286,88.839,88.542,88.839,88.542,88.542,88.467,89.286,89.509,89.509,89.137,89.807
RMNH.INS.1271309_Cs_annulata - ND4 CDS,83.756,83.830,83.830,84.896,84.970,84.970,89.583,89.583,89.509,99.479,99.702,,83.830,83.905,83.905,87.723,88.467,88.616,86.979,86.905,86.905,89.137,89.063,89.137,89.807,89.807,89.807,90.476,90.253,90.253,90.551,90.253,90.402,90.476,90.551,90.476,89.732,89.881,89.807,89.063,90.551,89.063,88.988,89.063,88.988,96.057,99.702,91.146,91.146,91.146,84.724,84.724,84.724,99.628,99.702,88.542,88.542,88.542,88.765,88.765,88.765,89.435,89.435,89.435,90.625,90.030,91.146,90.402,90.402,90.327,89.286,88.616,88.318,88.616,88.690,88.690,88.616,89.286,89.509,89.360,89.137,89.881
RMNH.INS.1271310_An_claviger - ND4 CDS,89.270,89.270,89.419,81.446,81.520,81.520,83.532,83.532,83.458,83.979,83.979,83.830,,99.627,99.702,81.744,82.340,82.489,82.340,82.340,82.265,83.607,83.532,83.681,83.383,83.383,83.383,83.979,83.905,83.756,83.905,83.756,83.830,84.426,84.501,84.426,83.979,84.203,84.128,82.489,84.501,82.563,82.936,83.010,82.936,83.830,83.979,84.277,84.203,84.277,89.046,89.046,89.046,84.054,83.979,83.085,83.085,83.085,81.893,81.893,81.893,82.861,82.861,82.861,84.575,84.277,84.203,83.010,83.010,82.787,83.830,83.308,83.159,83.308,83.010,83.010,82.936,84.799,84.575,84.873,83.532,83.607
RMNH.INS.1271311_An_claviger - ND4 CDS,89.344,89.344,89.493,81.520,81.595,81.595,83.532,83.532,83.458,84.054,84.054,83.905,99.627,,99.627,81.967,82.563,82.712,82.489,82.489,82.414,83.607,83.532,83.681,83.308,83.308,83.308,83.979,83.905,83.756,83.905,83.756,83.830,84.426,84.501,84.426,83.979,84.203,84.128,82.638,84.501,82.712,83.085,83.159,83.085,83.830,84.054,84.277,84.203,84.277,88.972,88.972,88.972,84.128,84.054,83.234,83.234,83.234,82.191,82.191,82.191,83.085,83.085,83.085,84.650,84.277,84.203,83.085,83.085,82.861,83.905,83.159,83.010,83.159,83.085,83.085,83.010,84.948,84.650,85.022,83.532,83.532
RMNH.INS.1271312_An_claviger - ND4 CDS,89.270,89.270,89.419,81.371,81.446,81.446,83.532,83.532,83.458,84.054,84.054,83.905,99.702,99.627,,81.744,82.340,82.638,82.340,82.340,82.265,83.607,83.532,83.681,83.458,83.458,83.458,83.830,83.756,83.681,83.756,83.607,83.681,84.277,84.352,84.277,83.830,84.054,83.979,82.489,84.352,82.563,83.085,83.159,83.085,83.830,84.054,84.277,84.203,84.277,88.972,88.972,88.972,84.128,84.054,83.234,83.234,83.234,81.893,81.893,81.893,82.861,82.861,82.861,84.501,84.128,84.203,83.085,83.085,82.861,83.830,83.234,83.085,83.234,83.085,83.085,83.010,84.948,84.650,84.873,83.532,83.532
RMNH.INS.1271313_Cx_modestus - ND4 CDS,82.116,82.191,81.967,82.515,82.664,82.664,86.607,86.607,86.533,87.946,87.946,87.723,81.744,81.967,81.744,,97.470,97.619,88.616,88.542,88.542,85.938,85.863,85.938,84.449,84.449,84.449,87.277,87.202,87.054,87.202,87.054,87.054,87.500,87.574,87.500,86.607,86.682,86.607,85.863,87.500,86.012,85.714,85.789,85.714,87.500,87.946,87.202,87.351,87.128,82.563,82.563,82.563,88.021,87.946,92.262,92.262,92.262,85.714,85.789,85.714,86.161,86.161,86.161,87.054,86.830,87.351,86.384,86.384,86.161,86.607,85.863,85.565,85.863,84.152,84.152,83.929,86.682,86.533,86.682,86.086,87.202
RMNH.INS.1271314_Cx_modestus - ND4 CDS,82.861,82.787,82.861,83.110,83.185,83.185,87.277,87.277,87.202,88.616,88.616,88.467,82.340,82.563,82.340,97.470,,99.330,89.137,89.211,89.211,86.607,86.533,86.607,84.896,84.896,84.896,88.095,88.021,87.872,88.021,87.872,87.872,88.318,88.393,88.318,87.202,87.351,87.277,86.384,88.318,86.384,86.235,86.310,86.235,88.095,88.616,87.872,87.872,87.798,82.861,82.861,82.861,88.690,88.616,92.560,92.560,92.560,86.384,86.458,86.384,87.128,87.128,87.128,87.426,87.202,87.872,87.277,87.277,87.054,87.054,86.310,86.012,86.310,84.970,84.970,84.747,87.426,87.202,87.426,86.607,88.170
RMNH.INS.1271315_Cx_modestus - ND4 CDS,82.936,82.861,82.936,83.259,83.333,83.333,87.351,87.351,87.277,88.839,88.839,88.616,82.489,82.712,82.638,97.619,99.330,,89.137,89.211,89.211,86.756,86.682,86.756,84.896,84.896,84.896,87.946,87.872,87.798,87.872,87.723,87.723,88.170,88.244,88.170,87.202,87.277,87.202,86.235,88.170,86.235,86.384,86.458,86.384,87.946,88.839,87.798,87.798,87.723,83.010,83.010,83.010,88.914,88.839,92.932,92.932,92.932,86.458,86.533,86.458,86.979,86.979,86.979,87.426,87.351,87.798,87.426,87.426,87.202,87.202,86.310,86.012,86.310,84.821,84.821,84.747,87.351,87.202,87.351,86.905,88.095
RMNH.INS.1271316_Cx_territans - ND4 CDS,81.893,81.893,81.893,83.482,83.631,83.631,87.574,87.574,87.574,87.128,87.128,86.979,82.340,82.489,82.340,88.616,89.137,89.137,,99.702,99.777,86.458,86.384,86.458,84.747,84.747,84.747,87.426,87.351,87.351,87.351,87.202,87.202,87.351,87.426,87.351,86.607,86.830,86.756,85.789,87.426,85.789,86.310,86.384,86.310,86.830,87.128,87.649,87.574,87.574,82.265,82.265,82.265,87.202,87.128,90.551,90.551,90.551,86.384,86.384,86.384,86.012,86.012,86.012,87.351,87.202,87.574,86.830,86.830,86.607,87.054,85.193,84.970,85.193,85.342,85.342,85.268,87.574,87.277,87.798,86.384,87.277
RMNH.INS.1271317_Cx_territans - ND4 CDS,81.744,81.744,81.744,83.259,83.408,83.408,87.500,87.500,87.500,87.054,87.054,86.905,82.340,82.489,82.340,88.542,89.211,89.211,99.702,,99.926,86.384,86.310,86.384,84.524,84.524,84.524,87.351,87.277,87.277,87.277,87.128,87.128,87.277,87.351,87.277,86.533,86.756,86.682,85.714,87.351,85.714,86.235,86.310,86.235,86.756,87.054,87.574,87.500,87.500,82.265,82.265,82.265,87.128,87.054,90.476,90.476,90.476,86.235,86.235,86.235,85.938,85.938,85.938,87.277,87.128,87.500,86.905,86.905,86.682,86.979,85.268,85.045,85.268,85.268,85.268,85.193,87.500,87.202,87.723,86.310,87.202
RMNH.INS.1271318_Cx_territans - ND4 CDS,81.818,81.818,81.818,83.259,83.408,83.408,87.500,87.500,87.500,87.054,87.054,86.905,82.265,82.414,82.265,88.542,89.211,89.211,99.777,99.926,,86.384,86.310,86.384,84.524,84.524,84.524,87.351,87.277,87.277,87.277,87.128,87.128,87.277,87.351,87.277,86.533,86.756,86.682,85.714,87.351,85.714,86.235,86.310,86.235,86.756,87.054,87.574,87.500,87.500,82.191,82.191,82.191,87.128,87.054,90.476,90.476,90.476,86.235,86.235,86.235,85.938,85.938,85.938,87.277,87.128,87.500,86.905,86.905,86.682,86.979,85.268,85.045,85.268,85.268,85.268,85.193,87.500,87.202,87.723,86.310,87.202
RMNH.INS.1271319_Ae_cinereus_geminus - ND4 CDS,82.638,82.787,82.712,84.598,84.673,84.673,91.741,91.741,91.667,89.137,89.137,89.137,83.607,83.607,83.607,85.938,86.607,86.756,86.458,86.384,86.384,,99.926,99.926,86.979,86.979,86.979,91.964,91.890,91.964,92.039,91.815,91.890,92.039,92.113,92.039,90.848,91.146,91.071,89.955,92.113,89.955,89.955,90.030,89.955,88.616,89.137,91.890,91.890,91.815,82.191,82.191,82.191,89.211,89.137,87.798,87.798,87.798,87.202,87.202,87.202,90.997,90.997,90.997,91.815,91.146,91.890,91.295,91.295,91.071,91.369,90.476,90.104,90.476,88.318,88.318,88.244,91.071,90.923,91.220,99.777,88.914
RMNH.INS.1271320_Ae_cinereus_geminus - ND4 CDS,82.563,82.712,82.638,84.524,84.598,84.598,91.667,91.667,91.592,89.063,89.063,89.063,83.532,83.532,83.532,85.863,86.533,86.682,86.384,86.310,86.310,99.926,,99.851,86.905,86.905,86.905,91.890,91.815,91.890,91.964,91.741,91.815,91.964,92.039,91.964,90.774,91.071,90.997,89.881,92.039,89.881,89.881,89.955,89.881,88.542,89.063,91.815,91.815,91.741,82.116,82.116,82.116,89.137,89.063,87.723,87.723,87.723,87.128,87.128,87.128,90.923,90.923,90.923,91.741,91.071,91.815,91.220,91.220,90.997,91.295,90.402,90.030,90.402,88.244,88.244,88.170,90.997,90.848,91.146,99.702,88.839
RMNH.INS.1271321_Ae_cinereus_geminus - ND4 CDS,82.638,82.787,82.712,84.598,84.673,84.673,91.741,91.741,91.667,89.137,89.137,89.137,83.681,83.681,83.681,85.938,86.607,86.756,86.458,86.384,86.384,99.926,99.851,,87.054,87.054,87.054,91.964,91.890,91.964,92.039,91.815,91.890,92.039,92.113,92.039,90.848,91.146,91.071,89.955,92.113,89.955,90.030,90.104,90.030,88.616,89.137,91.890,91.890,91.815,82.265,82.265,82.265,89.211,89.137,87.798,87.798,87.798,87.202,87.202,87.202,90.923,90.923,90.923,91.741,91.220,91.890,91.295,91.295,91.071,91.369,90.476,90.104,90.476,88.393,88.393,88.318,91.146,90.997,91.295,99.702,88.988
RMNH.INS.1271322_Cs_longiareolata - ND4 CDS,82.414,82.489,82.414,83.929,83.929,83.929,86.979,86.979,86.905,89.658,89.658,89.807,83.383,83.308,83.458,84.449,84.896,84.896,84.747,84.524,84.524,86.979,86.905,87.054,,100.000,100.000,88.244,88.318,88.095,88.170,88.095,88.244,87.649,87.723,87.649,86.607,86.830,86.756,86.086,87.723,86.012,86.086,86.012,86.086,89.583,89.658,87.574,87.426,87.500,82.638,82.638,82.638,89.732,89.658,85.938,85.938,85.938,86.235,86.310,86.235,86.979,86.979,86.979,87.277,86.607,87.426,87.872,87.872,87.649,87.574,85.714,85.714,85.714,85.863,85.863,85.714,86.533,86.682,86.682,86.905,87.277
RMNH.INS.1271323_Cs_longiareolata - ND4 CDS,82.414,82.489,82.414,83.929,83.929,83.929,86.979,86.979,86.905,89.658,89.658,89.807,83.383,83.308,83.458,84.449,84.896,84.896,84.747,84.524,84.524,86.979,86.905,87.054,100.000,,100.000,88.244,88.318,88.095,88.170,88.095,88.244,87.649,87.723,87.649,86.607,86.830,86.756,86.086,87.723,86.012,86.086,86.012,86.086,89.583,89.658,87.574,87.426,87.500,82.638,82.638,82.638,89.732,89.658,85.938,85.938,85.938,86.235,86.310,86.235,86.979,86.979,86.979,87.277,86.607,87.426,87.872,87.872,87.649,87.574,85.714,85.714,85.714,85.863,85.863,85.714,86.533,86.682,86.682,86.905,87.277
