,RMNH.INS.1271298_An_messeae - rrnS gene,RMNH.INS.1271299_An_messeae - rrnS gene,RMNH.INS.1271300_An_messeae - rrnS gene,RMNH.INS.1271301_Cq_richiardii - rrnS gene,RMNH.INS.1271302_Cq_richiardii - rrnS gene,RMNH.INS.1271303_Cq_richiardii - rrnS gene,RMNH.INS.1271304_Ae_vexans - rrnS gene,RMNH.INS.1271305_Ae_vexans - rrnS gene,RMNH.INS.1271306_Ae_vexans - rrnS gene,RMNH.INS.1271307_Cs_annulata - rrnS gene,RMNH.INS.1271308_Cs_annulata - rrnS gene,RMNH.INS.1271309_Cs_annulata - rrnS gene,RMNH.INS.1271310_An_claviger - rrnS gene,RMNH.INS.1271311_An_claviger - rrnS gene,RMNH.INS.1271312_An_claviger - rrnS gene,RMNH.INS.1271313_Cx_modestus - rrnS gene,RMNH.INS.1271314_Cx_modestus - rrnS gene,RMNH.INS.1271315_Cx_modestus - rrnS gene,RMNH.INS.1271316_Cx_territans - rrnS gene,RMNH.INS.1271317_Cx_territans - rrnS gene,RMNH.INS.1271318_Cx_territans - rrnS gene,RMNH.INS.1271319_Ae_cinereus_geminus - rrnS gene,RMNH.INS.1271320_Ae_cinereus_geminus - rrnS gene,RMNH.INS.1271321_Ae_cinereus_geminus - rrnS gene,RMNH.INS.1271322_Cs_longiareolata - rrnS gene,RMNH.INS.1271323_Cs_longiareolata - rrnS gene,RMNH.INS.1271324_Cs_longiareolata - rrnS gene,RMNH.INS.1271325_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271326_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271327_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271328_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271329_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271330_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271331_Ae_rusticus - rrnS gene,RMNH.INS.1271332_Ae_rusticus - rrnS gene,RMNH.INS.1271333_Ae_rusticus - rrnS gene,RMNH.INS.1271334_Ae_communis - rrnS gene,RMNH.INS.1271335_Ae_communis - rrnS gene,RMNH.INS.1271336_Ae_communis - rrnS gene,RMNH.INS.1271337_Ae_punctor - rrnS gene,RMNH.INS.1271338_Ae_rusticus - rrnS gene,RMNH.INS.1271339_Ae_punctor - rrnS gene,RMNH.INS.1271340_Ae_geniculatus - rrnS gene,RMNH.INS.1271341_Ae_geniculatus - rrnS gene,RMNH.INS.1271342_Ae_geniculatus - rrnS gene,RMNH.INS.1271344_Cs_subochrea - rrnS gene,RMNH.INS.1271345_Cs_annulata - rrnS gene,RMNH.INS.1271346_Ae_caspius - rrnS gene,RMNH.INS.1271347_Ae_caspius - rrnS gene,RMNH.INS.1271348_Ae_caspius - rrnS gene,RMNH.INS.1271349_An_plumbeus - rrnS gene,RMNH.INS.1271350_An_plumbeus - rrnS gene,RMNH.INS.1271351_An_plumbeus - rrnS gene,RMNH.INS.1271352_Cs_annulata - rrnS gene,RMNH.INS.1271354_Cs_annulata - rrnS gene,RMNH.INS.1271355_Cx_pipiens - rrnS gene,RMNH.INS.1271356_Cx_pipiens - rrnS gene,RMNH.INS.1271357_Cx_pipiens - rrnS gene,RMNH.INS.1271358_Cs_morsitans - rrnS gene,RMNH.INS.1271359_Cs_morsitans - rrnS gene,RMNH.INS.1271360_Cs_morsitans - rrnS gene,RMNH.INS.1271361_Ae_sticticus - rrnS gene,RMNH.INS.1271362_Ae_sticticus - rrnS gene,RMNH.INS.1271363_Ae_sticticus - rrnS gene,RMNH.INS.1271367_Ae_detritus - rrnS gene,RMNH.INS.1271368_Ae_detritus - rrnS gene,RMNH.INS.1271369_Ae_caspius - rrnS gene,RMNH.INS.1271370_Ae_flavescens - rrnS gene,RMNH.INS.1271371_Ae_flavescens - rrnS gene,RMNH.INS.1271372_Ae_flavescens - rrnS gene,RMNH.INS.1271375_Ae_leucomelas - rrnS gene,RMNH.INS.1271376_Ae_albopictus - rrnS gene,RMNH.INS.1271377_Ae_albopictus - rrnS gene,RMNH.INS.1271378_Ae_albopictus - rrnS gene,RMNH.INS.1271379_Ae_japonicus - rrnS gene,RMNH.INS.1271380_Ae_japonicus - rrnS gene,RMNH.INS.1271381_Ae_japonicus - rrnS gene,RMNH.INS.1271382_Ae_aegypti - rrnS gene,RMNH.INS.1271383_Ae_aegypti - rrnS gene,RMNH.INS.1271384_Ae_aegypti - rrnS gene,RMNH.INS.1271386_Ae_cinereus_geminus - rrnS gene,RMNH.INS.1271389_Cs_ochroptera - rrnS gene
RMNH.INS.1271308_Cs_annulata - rrnS gene,88.875,88.875,88.875,93.020,93.020,93.020,93.916,93.671,93.916,98.990,,99.364,89.001,89.001,88.875,93.655,93.655,93.782,93.418,93.647,93.647,93.038,93.038,93.038,95.680,95.680,95.680,93.790,93.544,93.916,93.790,93.797,93.797,94.043,94.043,94.043,93.671,93.671,93.671,93.797,94.043,93.797,93.671,93.671,93.671,97.840,99.746,93.655,93.655,93.528,88.310,88.310,88.183,99.746,99.746,93.401,93.401,93.274,94.911,94.911,94.911,94.043,94.043,94.043,93.147,93.401,93.655,93.790,93.790,93.671,94.745,92.785,92.785,92.785,93.909,93.909,93.782,93.647,93.901,93.647,93.038,94.911
RMNH.INS.1271309_Cs_annulata - rrnS gene,89.141,89.141,89.141,92.902,92.902,92.902,94.304,94.058,94.304,98.864,99.364,,89.268,89.268,89.141,93.663,93.663,93.790,93.552,93.782,93.782,93.544,93.544,93.544,95.812,95.812,95.812,94.177,93.932,94.304,94.177,94.185,94.185,94.430,94.430,94.430,94.058,94.058,94.058,94.185,94.430,94.185,94.058,94.058,94.058,97.967,99.618,94.043,94.043,93.916,88.340,88.340,88.213,99.618,99.618,93.409,93.409,93.283,95.293,95.293,95.293,94.304,94.304,94.304,93.536,93.790,94.043,94.177,94.177,94.058,95.231,93.173,93.173,93.173,94.297,94.297,94.170,94.036,94.289,94.036,93.544,95.044
RMNH.INS.1271310_An_claviger - rrnS gene,96.222,96.222,96.222,87.121,87.121,87.121,89.533,89.295,89.533,88.221,89.001,89.268,,100.000,99.874,89.057,88.931,89.182,87.799,88.005,88.005,88.287,88.287,88.287,89.029,89.029,89.029,89.281,89.043,89.407,89.281,89.295,89.295,88.777,88.777,88.777,88.665,88.665,88.665,88.539,88.777,88.539,89.169,89.169,89.169,88.525,88.889,89.001,89.001,88.875,93.011,93.011,92.884,88.889,88.889,88.805,88.805,88.931,88.510,88.510,88.510,89.281,89.281,89.281,88.384,88.636,89.001,89.155,89.155,89.043,90.333,88.080,88.080,88.080,88.875,88.875,88.748,89.141,89.141,89.015,88.287,88.510
RMNH.INS.1271311_An_claviger - rrnS gene,96.222,96.222,96.222,87.121,87.121,87.121,89.533,89.295,89.533,88.221,89.001,89.268,100.000,,99.874,89.057,88.931,89.182,87.799,88.005,88.005,88.287,88.287,88.287,89.029,89.029,89.029,89.281,89.043,89.407,89.281,89.295,89.295,88.777,88.777,88.777,88.665,88.665,88.665,88.539,88.777,88.539,89.169,89.169,89.169,88.525,88.889,89.001,89.001,88.875,93.011,93.011,92.884,88.889,88.889,88.805,88.805,88.931,88.510,88.510,88.510,89.281,89.281,89.281,88.384,88.636,89.001,89.155,89.155,89.043,90.333,88.080,88.080,88.080,88.875,88.875,88.748,89.141,89.141,89.015,88.287,88.510
RMNH.INS.1271312_An_claviger - rrnS gene,96.348,96.348,96.348,86.995,86.995,86.995,89.407,89.169,89.407,88.095,88.875,89.141,99.874,99.874,,88.931,88.805,89.057,87.673,87.879,87.879,88.161,88.161,88.161,88.903,88.903,88.903,89.155,88.917,89.281,89.155,89.169,89.169,88.651,88.651,88.651,88.539,88.539,88.539,88.413,88.651,88.413,89.043,89.043,89.043,88.398,88.763,88.875,88.875,88.748,92.884,92.884,92.757,88.763,88.763,88.679,88.679,88.805,88.384,88.384,88.384,89.155,89.155,89.155,88.258,88.510,88.875,89.029,89.029,88.917,90.333,88.206,88.206,88.206,88.748,88.748,88.622,89.015,89.015,88.889,88.161,88.384
RMNH.INS.1271313_Cx_modestus - rrnS gene,88.428,88.428,88.428,93.020,93.020,93.020,93.418,93.300,93.418,92.830,93.655,93.663,89.057,89.057,88.931,,99.501,99.751,95.944,96.433,96.433,92.677,92.803,92.677,93.156,93.156,93.156,93.536,93.291,93.663,93.536,93.544,93.544,93.291,93.291,93.291,92.785,92.785,92.785,93.797,93.291,93.797,93.291,93.291,93.291,93.038,93.536,93.274,93.274,93.147,86.819,86.819,86.692,93.536,93.536,99.005,99.005,98.881,93.020,93.020,93.020,93.790,93.790,93.790,92.649,92.902,93.274,93.409,93.409,93.291,94.099,90.741,90.741,90.741,92.640,92.640,92.513,93.147,93.147,93.020,92.677,92.630
RMNH.INS.1271314_Cx_modestus - rrnS gene,88.428,88.428,88.428,93.020,93.020,93.020,93.418,93.300,93.418,92.830,93.655,93.663,88.931,88.931,88.805,99.501,,99.625,95.944,96.433,96.433,92.677,92.803,92.677,93.156,93.156,93.156,93.536,93.291,93.663,93.536,93.544,93.544,93.291,93.291,93.291,92.785,92.785,92.785,93.797,93.291,93.797,93.291,93.291,93.291,93.038,93.536,93.274,93.274,93.147,86.819,86.819,86.692,93.536,93.536,98.876,98.876,98.752,93.020,93.020,93.020,93.790,93.790,93.790,92.649,92.902,93.274,93.409,93.409,93.291,94.099,91.202,91.202,91.202,92.640,92.640,92.513,93.147,93.147,93.020,92.677,92.630
RMNH.INS.1271315_Cx_modestus - rrnS gene,88.553,88.553,88.553,93.147,93.147,93.147,93.544,93.426,93.544,92.956,93.782,93.790,89.182,89.182,89.057,99.751,99.625,,96.071,96.561,96.561,92.803,92.929,92.803,93.283,93.283,93.283,93.663,93.418,93.790,93.663,93.671,93.671,93.418,93.418,93.418,92.911,92.911,92.911,93.924,93.418,93.924,93.418,93.418,93.418,93.165,93.663,93.401,93.401,93.274,86.946,86.946,86.819,93.663,93.663,99.005,99.005,98.881,93.147,93.147,93.147,93.916,93.916,93.916,92.776,93.029,93.401,93.536,93.536,93.418,94.258,90.864,90.864,90.864,92.766,92.766,92.640,93.274,93.274,93.147,92.803,92.757
RMNH.INS.1271316_Cx_territans - rrnS gene,88.302,88.302,88.302,92.288,92.288,92.288,93.821,93.577,93.821,92.723,93.418,93.552,87.799,87.799,87.673,95.944,95.944,96.071,,99.492,99.492,92.579,92.704,92.579,94.051,94.051,94.051,93.687,93.443,93.561,93.687,93.695,93.695,93.695,93.695,93.695,92.812,92.812,92.812,93.190,93.695,93.190,93.569,93.569,93.569,93.813,93.426,93.805,93.805,93.679,86.995,86.995,86.869,93.426,93.426,96.198,96.198,96.071,93.426,93.426,93.426,93.561,93.561,93.561,92.551,92.803,93.805,93.561,93.561,93.443,94.418,92.695,92.695,92.695,93.173,93.173,93.047,92.920,92.920,93.047,92.579,93.038
RMNH.INS.1271317_Cx_territans - rrnS gene,88.510,88.510,88.510,92.513,92.513,92.513,94.051,93.805,94.051,92.947,93.647,93.782,88.005,88.005,87.879,96.433,96.433,96.561,99.492,,100.000,92.803,92.929,92.803,94.162,94.162,94.162,93.916,93.671,93.790,93.916,93.924,93.924,93.924,93.924,93.924,93.038,93.038,93.038,93.418,93.924,93.418,93.797,93.797,93.797,94.043,93.655,94.036,94.036,93.909,87.199,87.199,87.072,93.655,93.655,96.688,96.688,96.561,93.901,93.901,93.901,93.790,93.790,93.790,92.776,93.029,94.036,93.790,93.790,93.671,94.418,92.920,92.920,92.920,93.401,93.401,93.274,93.147,93.147,93.274,92.803,93.511
RMNH.INS.1271318_Cx_territans - rrnS gene,88.510,88.510,88.510,92.513,92.513,92.513,94.051,93.805,94.051,92.947,93.647,93.782,88.005,88.005,87.879,96.433,96.433,96.561,99.492,100.000,,92.803,92.929,92.803,94.162,94.162,94.162,93.916,93.671,93.790,93.916,93.924,93.924,93.924,93.924,93.924,93.038,93.038,93.038,93.418,93.924,93.418,93.797,93.797,93.797,94.043,93.655,94.036,94.036,93.909,87.199,87.199,87.072,93.655,93.655,96.688,96.688,96.561,93.901,93.901,93.901,93.790,93.790,93.790,92.776,93.029,94.036,93.790,93.790,93.671,94.418,92.920,92.920,92.920,93.401,93.401,93.274,93.147,93.147,93.274,92.803,93.511
RMNH.INS.1271319_Ae_cinereus_geminus - rrnS gene,88.413,88.413,88.413,91.035,91.035,91.035,96.713,96.465,96.713,92.462,93.038,93.544,88.287,88.287,88.161,92.677,92.677,92.803,92.579,92.803,92.803,,99.873,100.000,93.434,93.434,93.434,96.460,96.212,96.587,96.460,96.465,96.465,96.839,96.839,96.839,96.086,96.086,96.086,96.338,96.839,96.338,94.949,94.949,94.949,92.920,93.165,96.582,96.582,96.456,86.726,86.726,86.599,93.165,93.165,93.308,93.308,93.182,93.038,93.038,93.038,95.833,95.833,95.833,95.823,96.076,96.582,96.587,96.587,96.465,96.508,94.066,94.066,94.066,94.937,94.937,94.810,94.937,94.810,94.937,100.000,92.794
RMNH.INS.1271320_Ae_cinereus_geminus - rrnS gene,88.413,88.413,88.413,91.162,91.162,91.162,96.587,96.338,96.587,92.462,93.038,93.544,88.287,88.287,88.161,92.803,92.803,92.929,92.704,92.929,92.929,99.873,,99.873,93.434,93.434,93.434,96.587,96.338,96.713,96.587,96.591,96.591,96.713,96.713,96.713,95.960,95.960,95.960,96.465,96.713,96.465,95.076,95.076,95.076,92.920,93.165,96.456,96.456,96.329,86.726,86.726,86.599,93.165,93.165,93.182,93.182,93.056,92.911,92.911,92.911,95.707,95.707,95.707,95.696,95.949,96.456,96.460,96.460,96.338,96.508,94.192,94.192,94.192,94.937,94.937,94.810,95.063,94.937,95.063,99.873,92.920
RMNH.INS.1271321_Ae_cinereus_geminus - rrnS gene,88.413,88.413,88.413,91.035,91.035,91.035,96.713,96.465,96.713,92.462,93.038,93.544,88.287,88.287,88.161,92.677,92.677,92.803,92.579,92.803,92.803,100.000,99.873,,93.434,93.434,93.434,96.460,96.212,96.587,96.460,96.465,96.465,96.839,96.839,96.839,96.086,96.086,96.086,96.338,96.839,96.338,94.949,94.949,94.949,92.920,93.165,96.582,96.582,96.456,86.726,86.726,86.599,93.165,93.165,93.308,93.308,93.182,93.038,93.038,93.038,95.833,95.833,95.833,95.823,96.076,96.582,96.587,96.587,96.465,96.508,94.066,94.066,94.066,94.937,94.937,94.810,94.937,94.810,94.937,100.000,92.794
RMNH.INS.1271322_Cs_longiareolata - rrnS gene,89.281,89.281,89.281,91.888,91.888,91.888,94.564,94.444,94.564,94.962,95.680,95.812,89.029,89.029,88.903,93.156,93.156,93.283,94.051,94.162,94.162,93.434,93.434,93.434,,100.000,100.000,94.430,94.185,94.304,94.430,94.437,94.437,95.196,95.196,95.196,94.058,94.058,94.058,94.437,95.196,94.437,94.437,94.437,94.437,95.437,95.685,94.430,94.430,94.304,87.975,87.975,87.848,95.685,95.685,93.536,93.536,93.409,94.670,94.670,94.670,94.304,94.304,94.304,93.544,93.544,94.430,94.430,94.430,94.311,95.701,92.308,92.308,92.308,94.177,94.177,94.051,93.536,93.536,93.663,93.434,95.172
RMNH.INS.1271323_Cs_longiareolata - rrnS gene,89.281,89.281,89.281,91.888,91.888,91.888,94.564,94.444,94.564,94.962,95.680,95.812,89.029,89.029,88.903,93.156,93.156,93.283,94.051,94.162,94.162,93.434,93.434,93.434,100.000,,100.000,94.430,94.185,94.304,94.430,94.437,94.437,95.196,95.196,95.196,94.058,94.058,94.058,94.437,95.196,94.437,94.437,94.437,94.437,95.437,95.685,94.430,94.430,94.304,87.975,87.975,87.848,95.685,95.685,93.536,93.536,93.409,94.670,94.670,94.670,94.304,94.304,94.304,93.544,93.544,94.430,94.430,94.430,94.311,95.701,92.308,92.308,92.308,94.177,94.177,94.051,93.536,93.536,93.663,93.434,95.172
