,RMNH.INS.1271298_An_messeae - ND1 CDS,RMNH.INS.1271299_An_messeae - ND1 CDS,RMNH.INS.1271300_An_messeae - ND1 CDS,RMNH.INS.1271301_Cq_richiardii - ND1 CDS,RMNH.INS.1271302_Cq_richiardii - ND1 CDS,RMNH.INS.1271303_Cq_richiardii - ND1 CDS,RMNH.INS.1271304_Ae_vexans - ND1 CDS,RMNH.INS.1271305_Ae_vexans - ND1 CDS,RMNH.INS.1271306_Ae_vexans - ND1 CDS,RMNH.INS.1271307_Cs_annulata - ND1 CDS,RMNH.INS.1271308_Cs_annulata - ND1 CDS,RMNH.INS.1271309_Cs_annulata - ND1 CDS,RMNH.INS.1271310_An_claviger - ND1 CDS,RMNH.INS.1271311_An_claviger - ND1 CDS,RMNH.INS.1271312_An_claviger - ND1 CDS,RMNH.INS.1271313_Cx_modestus - ND1 CDS,RMNH.INS.1271314_Cx_modestus - ND1 CDS,RMNH.INS.1271315_Cx_modestus - ND1 CDS,RMNH.INS.1271316_Cx_territans - ND1 CDS,RMNH.INS.1271317_Cx_territans - ND1 CDS,RMNH.INS.1271318_Cx_territans - ND1 CDS,RMNH.INS.1271319_Ae_cinereus_geminus - ND1 CDS,RMNH.INS.1271320_Ae_cinereus_geminus - ND1 CDS,RMNH.INS.1271321_Ae_cinereus_geminus - ND1 CDS,RMNH.INS.1271322_Cs_longiareolata - ND1 CDS,RMNH.INS.1271323_Cs_longiareolata - ND1 CDS,RMNH.INS.1271324_Cs_longiareolata - ND1 CDS,RMNH.INS.1271325_Ae_annulipes_cantans - ND1 CDS,RMNH.INS.1271326_Ae_annulipes_cantans - ND1 CDS,RMNH.INS.1271327_Ae_annulipes_cantans - ND1 CDS,RMNH.INS.1271328_Ae_annulipes_cantans - ND1 CDS,RMNH.INS.1271329_Ae_annulipes_cantans - ND1 CDS,RMNH.INS.1271330_Ae_annulipes_cantans - ND1 CDS,RMNH.INS.1271331_Ae_rusticus - ND1 CDS,RMNH.INS.1271332_Ae_rusticus - ND1 CDS,RMNH.INS.1271333_Ae_rusticus - ND1 CDS,RMNH.INS.1271334_Ae_communis - ND1 CDS,RMNH.INS.1271335_Ae_communis - ND1 CDS,RMNH.INS.1271336_Ae_communis - ND1 CDS,RMNH.INS.1271337_Ae_punctor - ND1 CDS,RMNH.INS.1271338_Ae_rusticus - ND1 CDS,RMNH.INS.1271339_Ae_punctor - ND1 CDS,RMNH.INS.1271340_Ae_geniculatus - ND1 CDS,RMNH.INS.1271341_Ae_geniculatus - ND1 CDS,RMNH.INS.1271342_Ae_geniculatus - ND1 CDS,RMNH.INS.1271344_Cs_subochrea - ND1 CDS,RMNH.INS.1271345_Cs_annulata - ND1 CDS,RMNH.INS.1271346_Ae_caspius - ND1 CDS,RMNH.INS.1271347_Ae_caspius - ND1 CDS,RMNH.INS.1271348_Ae_caspius - ND1 CDS,RMNH.INS.1271349_An_plumbeus - ND1 CDS,RMNH.INS.1271350_An_plumbeus - ND1 CDS,RMNH.INS.1271351_An_plumbeus - ND1 CDS,RMNH.INS.1271352_Cs_annulata - ND1 CDS,RMNH.INS.1271354_Cs_annulata - ND1 CDS,RMNH.INS.1271355_Cx_pipiens - ND1 CDS,RMNH.INS.1271356_Cx_pipiens - ND1 CDS,RMNH.INS.1271357_Cx_pipiens - ND1 CDS,RMNH.INS.1271358_Cs_morsitans - ND1 CDS,RMNH.INS.1271359_Cs_morsitans - ND1 CDS,RMNH.INS.1271360_Cs_morsitans - ND1 CDS,RMNH.INS.1271361_Ae_sticticus - ND1 CDS,RMNH.INS.1271362_Ae_sticticus - ND1 CDS,RMNH.INS.1271363_Ae_sticticus - ND1 CDS,RMNH.INS.1271367_Ae_detritus - ND1 CDS,RMNH.INS.1271368_Ae_detritus - ND1 CDS,RMNH.INS.1271369_Ae_caspius - ND1 CDS,RMNH.INS.1271370_Ae_flavescens - ND1 CDS,RMNH.INS.1271371_Ae_flavescens - ND1 CDS,RMNH.INS.1271372_Ae_flavescens - ND1 CDS,RMNH.INS.1271375_Ae_leucomelas - ND1 CDS,RMNH.INS.1271376_Ae_albopictus - ND1 CDS,RMNH.INS.1271377_Ae_albopictus - ND1 CDS,RMNH.INS.1271378_Ae_albopictus - ND1 CDS,RMNH.INS.1271379_Ae_japonicus - ND1 CDS,RMNH.INS.1271380_Ae_japonicus - ND1 CDS,RMNH.INS.1271381_Ae_japonicus - ND1 CDS,RMNH.INS.1271382_Ae_aegypti - ND1 CDS,RMNH.INS.1271383_Ae_aegypti - ND1 CDS,RMNH.INS.1271384_Ae_aegypti - ND1 CDS,RMNH.INS.1271386_Ae_cinereus_geminus - ND1 CDS,RMNH.INS.1271389_Cs_ochroptera - ND1 CDS
RMNH.INS.1271314_Cx_modestus - ND1 CDS,87.461,87.565,87.774,85.684,85.580,85.684,91.327,91.118,91.223,90.700,90.700,90.552,87.461,87.565,87.461,98.537,,99.582,91.014,91.118,91.118,90.282,90.282,90.282,90.446,90.446,90.446,88.854,88.960,89.278,88.747,89.384,88.854,90.234,90.234,90.234,89.703,89.597,89.597,88.641,90.234,88.641,89.590,89.590,89.590,90.909,90.700,90.870,90.552,90.658,87.774,87.879,87.774,90.700,90.700,93.208,93.208,92.999,88.924,88.924,88.924,90.021,90.021,90.021,89.915,89.809,90.552,89.278,89.278,89.172,90.021,88.747,88.854,88.854,89.380,89.380,89.485,89.342,89.342,89.133,90.387,90.805
RMNH.INS.1271315_Cx_modestus - ND1 CDS,87.670,87.774,87.983,85.893,85.789,85.684,91.327,91.327,91.223,90.909,90.909,90.764,87.879,87.983,87.879,98.746,99.582,,91.223,91.327,91.327,90.491,90.491,90.491,90.658,90.658,90.658,89.066,89.172,89.490,88.960,89.597,89.066,90.658,90.658,90.658,89.915,89.809,89.809,88.854,90.658,88.854,89.800,89.800,89.800,91.118,90.909,91.295,90.977,91.083,87.983,88.088,87.983,90.909,90.909,93.626,93.626,93.417,89.133,89.133,89.133,90.234,90.234,90.234,90.340,90.234,90.977,89.490,89.490,89.384,90.021,89.172,89.278,89.278,89.380,89.380,89.485,89.342,89.551,89.133,90.596,91.223
RMNH.INS.1271316_Cx_territans - ND1 CDS,88.715,88.924,88.715,87.252,87.147,87.043,90.491,90.596,90.387,91.118,91.118,90.764,87.983,87.983,87.774,90.805,91.014,91.223,,99.896,99.896,91.118,91.118,91.118,90.127,90.127,90.127,90.127,90.234,90.446,90.021,90.764,90.446,90.552,90.552,90.552,90.552,90.446,90.446,89.384,90.552,89.384,90.431,90.431,90.431,90.178,91.118,90.977,90.870,90.977,87.565,87.670,87.565,91.118,91.118,91.432,91.432,91.432,88.192,88.192,88.192,89.915,89.915,89.915,90.977,91.295,90.870,90.021,90.021,89.915,90.658,89.703,89.703,89.809,89.064,89.064,89.169,90.387,90.282,90.387,91.223,89.446
RMNH.INS.1271317_Cx_territans - ND1 CDS,88.715,88.924,88.715,87.252,87.147,87.043,90.596,90.700,90.491,91.223,91.223,90.870,87.983,87.983,87.774,90.909,91.118,91.327,99.896,,100.000,91.223,91.223,91.223,90.127,90.127,90.127,90.234,90.340,90.552,90.127,90.870,90.552,90.658,90.658,90.658,90.658,90.552,90.552,89.490,90.658,89.490,90.536,90.536,90.536,90.282,91.223,91.083,90.977,91.083,87.565,87.670,87.565,91.223,91.223,91.536,91.536,91.536,88.192,88.192,88.192,90.021,90.021,90.021,91.083,91.401,90.977,90.127,90.127,90.021,90.764,89.809,89.809,89.915,89.169,89.169,89.274,90.491,90.387,90.491,91.327,89.551
RMNH.INS.1271318_Cx_territans - ND1 CDS,88.715,88.924,88.715,87.252,87.147,87.043,90.596,90.700,90.491,91.223,91.223,90.870,87.983,87.983,87.774,90.909,91.118,91.327,99.896,100.000,,91.223,91.223,91.223,90.127,90.127,90.127,90.234,90.340,90.552,90.127,90.870,90.552,90.658,90.658,90.658,90.658,90.552,90.552,89.490,90.658,89.490,90.536,90.536,90.536,90.282,91.223,91.083,90.977,91.083,87.565,87.670,87.565,91.223,91.223,91.536,91.536,91.536,88.192,88.192,88.192,90.021,90.021,90.021,91.083,91.401,90.977,90.127,90.127,90.021,90.764,89.809,89.809,89.915,89.169,89.169,89.274,90.491,90.387,90.491,91.327,89.551
RMNH.INS.1271319_Ae_cinereus_geminus - ND1 CDS,88.088,88.401,88.506,87.252,87.147,87.043,93.103,93.208,92.999,91.850,91.850,91.507,88.610,88.610,88.506,89.969,90.282,90.491,91.118,91.223,91.223,,99.896,100.000,91.295,91.295,91.295,92.675,92.887,92.781,92.463,93.100,92.781,91.932,92.038,92.038,92.994,92.781,92.781,91.295,92.038,91.295,92.744,92.744,92.744,91.223,91.850,93.631,93.312,93.418,87.043,87.147,87.043,91.850,91.850,91.118,91.118,90.909,90.596,90.596,90.596,93.206,93.206,93.206,93.312,93.737,93.312,92.251,92.251,92.144,92.463,91.614,91.720,91.720,92.114,92.114,92.008,91.641,91.954,91.641,99.896,90.805
RMNH.INS.1271320_Ae_cinereus_geminus - ND1 CDS,88.088,88.401,88.506,87.252,87.147,87.043,93.103,93.208,92.999,91.850,91.850,91.507,88.610,88.610,88.506,89.969,90.282,90.491,91.118,91.223,91.223,99.896,,99.896,91.295,91.295,91.295,92.675,92.887,92.781,92.463,93.100,92.781,91.932,92.038,92.038,92.994,92.781,92.781,91.295,92.038,91.295,92.744,92.744,92.744,91.223,91.850,93.631,93.312,93.418,87.043,87.147,87.043,91.850,91.850,91.118,91.118,90.909,90.596,90.596,90.596,93.206,93.206,93.206,93.312,93.737,93.312,92.251,92.251,92.144,92.463,91.614,91.720,91.720,92.114,92.114,92.008,91.641,91.954,91.641,99.791,90.805
RMNH.INS.1271321_Ae_cinereus_geminus - ND1 CDS,88.088,88.401,88.506,87.252,87.147,87.043,93.103,93.208,92.999,91.850,91.850,91.507,88.610,88.610,88.506,89.969,90.282,90.491,91.118,91.223,91.223,100.000,99.896,,91.295,91.295,91.295,92.675,92.887,92.781,92.463,93.100,92.781,91.932,92.038,92.038,92.994,92.781,92.781,91.295,92.038,91.295,92.744,92.744,92.744,91.223,91.850,93.631,93.312,93.418,87.043,87.147,87.043,91.850,91.850,91.118,91.118,90.909,90.596,90.596,90.596,93.206,93.206,93.206,93.312,93.737,93.312,92.251,92.251,92.144,92.463,91.614,91.720,91.720,92.114,92.114,92.008,91.641,91.954,91.641,99.896,90.805
RMNH.INS.1271322_Cs_longiareolata - ND1 CDS,88.110,88.323,88.429,88.323,88.217,88.110,90.127,90.234,90.021,92.887,92.887,92.251,89.066,89.066,88.960,90.127,90.446,90.658,90.127,90.127,90.127,91.295,91.295,91.295,,100.000,100.000,89.809,89.915,89.915,89.915,90.658,90.340,90.658,90.552,90.552,90.127,90.127,90.127,88.217,90.552,88.217,90.127,90.127,90.127,91.826,92.887,90.658,90.340,90.446,88.429,88.535,88.429,92.887,92.887,89.809,89.809,89.597,90.764,90.764,90.764,89.915,89.915,89.915,90.552,90.658,90.340,89.384,89.384,89.278,90.658,89.915,90.021,90.021,89.384,89.384,89.490,89.172,89.278,89.490,91.401,91.614
RMNH.INS.1271323_Cs_longiareolata - ND1 CDS,88.110,88.323,88.429,88.323,88.217,88.110,90.127,90.234,90.021,92.887,92.887,92.251,89.066,89.066,88.960,90.127,90.446,90.658,90.127,90.127,90.127,91.295,91.295,91.295,100.000,,100.000,89.809,89.915,89.915,89.915,90.658,90.340,90.658,90.552,90.552,90.127,90.127,90.127,88.217,90.552,88.217,90.127,90.127,90.127,91.826,92.887,90.658,90.340,90.446,88.429,88.535,88.429,92.887,92.887,89.809,89.809,89.597,90.764,90.764,90.764,89.915,89.915,89.915,90.552,90.658,90.340,89.384,89.384,89.278,90.658,89.915,90.021,90.021,89.384,89.384,89.490,89.172,89.278,89.490,91.401,91.614
