,RMNH.INS.1271298_An_messeae - ATP8 CDS,RMNH.INS.1271299_An_messeae - ATP8 CDS,RMNH.INS.1271300_An_messeae - ATP8 CDS,RMNH.INS.1271301_Cq_richiardii - ATP8 CDS,RMNH.INS.1271302_Cq_richiardii - ATP8 CDS,RMNH.INS.1271303_Cq_richiardii - ATP8 CDS,RMNH.INS.1271304_Ae_vexans - ATP8 CDS,RMNH.INS.1271305_Ae_vexans - ATP8 CDS,RMNH.INS.1271306_Ae_vexans - ATP8 CDS,RMNH.INS.1271307_Cs_annulata - ATP8 CDS,RMNH.INS.1271308_Cs_annulata - ATP8 CDS,RMNH.INS.1271309_Cs_annulata - ATP8 CDS,RMNH.INS.1271310_An_claviger - ATP8 CDS,RMNH.INS.1271311_An_claviger - ATP8 CDS,RMNH.INS.1271312_An_claviger - ATP8 CDS,RMNH.INS.1271313_Cx_modestus - ATP8 CDS,RMNH.INS.1271314_Cx_modestus - ATP8 CDS,RMNH.INS.1271315_Cx_modestus - ATP8 CDS,RMNH.INS.1271316_Cx_territans - ATP8 CDS,RMNH.INS.1271317_Cx_territans - ATP8 CDS,RMNH.INS.1271318_Cx_territans - ATP8 CDS,RMNH.INS.1271319_Ae_cinereus_geminus - ATP8 CDS,RMNH.INS.1271320_Ae_cinereus_geminus - ATP8 CDS,RMNH.INS.1271321_Ae_cinereus_geminus - ATP8 CDS,RMNH.INS.1271322_Cs_longiareolata - ATP8 CDS,RMNH.INS.1271323_Cs_longiareolata - ATP8 CDS,RMNH.INS.1271324_Cs_longiareolata - ATP8 CDS,RMNH.INS.1271325_Ae_annulipes_cantans - ATP8 CDS,RMNH.INS.1271326_Ae_annulipes_cantans - ATP8 CDS,RMNH.INS.1271327_Ae_annulipes_cantans - ATP8 CDS,RMNH.INS.1271328_Ae_annulipes_cantans - ATP8 CDS,RMNH.INS.1271329_Ae_annulipes_cantans - ATP8 CDS,RMNH.INS.1271330_Ae_annulipes_cantans - ATP8 CDS,RMNH.INS.1271331_Ae_rusticus - ATP8 CDS,RMNH.INS.1271332_Ae_rusticus - ATP8 CDS,RMNH.INS.1271333_Ae_rusticus - ATP8 CDS,RMNH.INS.1271334_Ae_communis - ATP8 CDS,RMNH.INS.1271335_Ae_communis - ATP8 CDS,RMNH.INS.1271336_Ae_communis - ATP8 CDS,RMNH.INS.1271337_Ae_punctor - ATP8 CDS,RMNH.INS.1271338_Ae_rusticus - ATP8 CDS,RMNH.INS.1271339_Ae_punctor - ATP8 CDS,RMNH.INS.1271340_Ae_geniculatus - ATP8 CDS,RMNH.INS.1271341_Ae_geniculatus - ATP8 CDS,RMNH.INS.1271342_Ae_geniculatus - ATP8 CDS,RMNH.INS.1271344_Cs_subochrea - ATP8 CDS,RMNH.INS.1271345_Cs_annulata - ATP8 CDS,RMNH.INS.1271346_Ae_caspius - ATP8 CDS,RMNH.INS.1271347_Ae_caspius - ATP8 CDS,RMNH.INS.1271348_Ae_caspius - ATP8 CDS,RMNH.INS.1271349_An_plumbeus - ATP8 CDS,RMNH.INS.1271350_An_plumbeus - ATP8 CDS,RMNH.INS.1271351_An_plumbeus - ATP8 CDS,RMNH.INS.1271352_Cs_annulata - ATP8 CDS,RMNH.INS.1271354_Cs_annulata - ATP8 CDS,RMNH.INS.1271355_Cx_pipiens - ATP8 CDS,RMNH.INS.1271356_Cx_pipiens - ATP8 CDS,RMNH.INS.1271357_Cx_pipiens - ATP8 CDS,RMNH.INS.1271358_Cs_morsitans - ATP8 CDS,RMNH.INS.1271359_Cs_morsitans - ATP8 CDS,RMNH.INS.1271360_Cs_morsitans - ATP8 CDS,RMNH.INS.1271361_Ae_sticticus - ATP8 CDS,RMNH.INS.1271362_Ae_sticticus - ATP8 CDS,RMNH.INS.1271363_Ae_sticticus - ATP8 CDS,RMNH.INS.1271367_Ae_detritus - ATP8 CDS,RMNH.INS.1271368_Ae_detritus - ATP8 CDS,RMNH.INS.1271369_Ae_caspius - ATP8 CDS,RMNH.INS.1271370_Ae_flavescens - ATP8 CDS,RMNH.INS.1271371_Ae_flavescens - ATP8 CDS,RMNH.INS.1271372_Ae_flavescens - ATP8 CDS,RMNH.INS.1271375_Ae_leucomelas - ATP8 CDS,RMNH.INS.1271376_Ae_albopictus - ATP8 CDS,RMNH.INS.1271377_Ae_albopictus - ATP8 CDS,RMNH.INS.1271378_Ae_albopictus - ATP8 CDS,RMNH.INS.1271379_Ae_japonicus - ATP8 CDS,RMNH.INS.1271380_Ae_japonicus - ATP8 CDS,RMNH.INS.1271381_Ae_japonicus - ATP8 CDS,RMNH.INS.1271382_Ae_aegypti - ATP8 CDS,RMNH.INS.1271383_Ae_aegypti - ATP8 CDS,RMNH.INS.1271384_Ae_aegypti - ATP8 CDS,RMNH.INS.1271386_Ae_cinereus_geminus - ATP8 CDS,RMNH.INS.1271389_Cs_ochroptera - ATP8 CDS
RMNH.INS.1271308_Cs_annulata - ATP8 CDS,79.012,79.012,79.012,80.247,80.247,80.247,88.272,88.272,88.272,100.000,,100.000,75.926,75.926,75.926,83.951,84.568,83.951,85.185,85.185,85.185,88.272,88.272,88.272,90.741,90.741,90.741,90.741,90.741,90.741,90.741,90.123,90.741,89.506,89.506,89.506,88.889,89.506,89.506,87.654,90.123,87.654,89.506,89.506,89.506,95.679,100.000,91.358,91.358,91.358,77.778,77.778,77.778,100.000,100.000,82.099,82.099,82.099,86.420,86.420,86.420,90.741,90.741,90.741,90.123,91.975,91.358,91.975,91.975,91.975,91.358,87.654,87.654,87.037,86.420,86.420,86.420,88.272,88.889,87.654,88.272,88.272
RMNH.INS.1271309_Cs_annulata - ATP8 CDS,79.012,79.012,79.012,80.247,80.247,80.247,88.272,88.272,88.272,100.000,100.000,,75.926,75.926,75.926,83.951,84.568,83.951,85.185,85.185,85.185,88.272,88.272,88.272,90.741,90.741,90.741,90.741,90.741,90.741,90.741,90.123,90.741,89.506,89.506,89.506,88.889,89.506,89.506,87.654,90.123,87.654,89.506,89.506,89.506,95.679,100.000,91.358,91.358,91.358,77.778,77.778,77.778,100.000,100.000,82.099,82.099,82.099,86.420,86.420,86.420,90.741,90.741,90.741,90.123,91.975,91.358,91.975,91.975,91.975,91.358,87.654,87.654,87.037,86.420,86.420,86.420,88.272,88.889,87.654,88.272,88.272
RMNH.INS.1271310_An_claviger - ATP8 CDS,90.741,90.741,90.741,75.926,75.926,75.926,80.864,81.481,80.864,75.926,75.926,75.926,,99.383,100.000,75.926,76.543,75.926,75.926,75.926,75.926,79.012,79.012,79.012,77.778,77.778,77.778,76.543,76.543,76.543,76.543,76.543,76.543,75.926,75.926,75.926,77.778,78.395,78.395,75.926,75.926,75.926,75.309,75.309,75.309,74.691,75.926,76.543,76.543,76.543,88.272,88.272,88.272,75.926,75.926,76.543,76.543,76.543,75.926,75.926,75.926,78.395,78.395,78.395,77.778,77.160,76.543,77.778,77.778,77.778,76.543,79.012,79.012,78.395,75.309,75.309,75.309,79.012,80.247,80.247,79.012,75.309
RMNH.INS.1271311_An_claviger - ATP8 CDS,91.358,91.358,91.358,76.543,76.543,76.543,81.481,80.864,81.481,75.926,75.926,75.926,99.383,,99.383,75.309,75.926,75.309,76.543,76.543,76.543,78.395,78.395,78.395,77.160,77.160,77.160,77.160,77.160,77.160,77.160,77.160,77.160,76.543,76.543,76.543,78.395,79.012,79.012,76.543,76.543,76.543,75.926,75.926,75.926,74.691,75.926,77.160,77.160,77.160,88.889,88.889,88.889,75.926,75.926,77.160,77.160,77.160,75.309,75.309,75.309,77.778,77.778,77.778,78.395,77.778,77.160,78.395,78.395,78.395,77.160,78.395,78.395,77.778,75.926,75.926,75.926,79.630,80.864,80.864,78.395,75.926
RMNH.INS.1271312_An_claviger - ATP8 CDS,90.741,90.741,90.741,75.926,75.926,75.926,80.864,81.481,80.864,75.926,75.926,75.926,100.000,99.383,,75.926,76.543,75.926,75.926,75.926,75.926,79.012,79.012,79.012,77.778,77.778,77.778,76.543,76.543,76.543,76.543,76.543,76.543,75.926,75.926,75.926,77.778,78.395,78.395,75.926,75.926,75.926,75.309,75.309,75.309,74.691,75.926,76.543,76.543,76.543,88.272,88.272,88.272,75.926,75.926,76.543,76.543,76.543,75.926,75.926,75.926,78.395,78.395,78.395,77.778,77.160,76.543,77.778,77.778,77.778,76.543,79.012,79.012,78.395,75.309,75.309,75.309,79.012,80.247,80.247,79.012,75.309
RMNH.INS.1271313_Cx_modestus - ATP8 CDS,79.012,79.012,79.012,82.099,82.099,82.099,83.951,84.568,83.951,83.951,83.951,83.951,75.926,75.309,75.926,,98.765,99.383,92.593,91.975,92.593,83.951,83.951,83.951,83.333,83.333,83.333,83.333,83.333,83.333,83.333,83.951,83.333,85.802,85.802,85.802,84.568,85.185,85.185,82.716,86.420,82.716,87.037,87.037,87.037,83.951,83.951,84.568,84.568,84.568,78.395,78.395,78.395,83.951,83.951,94.444,94.444,94.444,80.864,80.864,80.864,85.802,85.802,85.802,83.333,85.185,84.568,84.568,84.568,84.568,84.568,83.333,83.333,82.716,85.185,85.185,85.185,82.716,83.333,82.716,83.951,85.185
RMNH.INS.1271314_Cx_modestus - ATP8 CDS,80.247,80.247,80.247,83.333,83.333,83.333,85.185,85.802,85.185,84.568,84.568,84.568,76.543,75.926,76.543,98.765,,99.383,93.827,93.210,93.827,85.185,85.185,85.185,84.568,84.568,84.568,84.568,84.568,84.568,84.568,85.185,84.568,85.185,85.185,85.185,85.802,86.420,86.420,83.333,85.802,83.333,88.272,88.272,88.272,84.568,84.568,85.802,85.802,85.802,79.630,79.630,79.630,84.568,84.568,94.444,94.444,94.444,81.481,81.481,81.481,87.037,87.037,87.037,84.568,86.420,85.802,85.802,85.802,85.802,85.802,84.568,84.568,83.951,86.420,86.420,86.420,83.951,84.568,83.951,85.185,85.802
RMNH.INS.1271315_Cx_modestus - ATP8 CDS,79.630,79.630,79.630,82.716,82.716,82.716,84.568,85.185,84.568,83.951,83.951,83.951,75.926,75.309,75.926,99.383,99.383,,93.210,92.593,93.210,84.568,84.568,84.568,83.951,83.951,83.951,83.951,83.951,83.951,83.951,84.568,83.951,85.802,85.802,85.802,85.185,85.802,85.802,82.716,86.420,82.716,87.654,87.654,87.654,83.951,83.951,85.185,85.185,85.185,79.012,79.012,79.012,83.951,83.951,95.062,95.062,95.062,80.864,80.864,80.864,86.420,86.420,86.420,83.951,85.802,85.185,85.185,85.185,85.185,85.185,83.951,83.951,83.333,85.802,85.802,85.802,83.333,83.951,83.333,84.568,85.185
RMNH.INS.1271316_Cx_territans - ATP8 CDS,80.864,80.864,80.864,82.099,82.099,82.099,85.185,84.568,85.185,85.185,85.185,85.185,75.926,76.543,75.926,92.593,93.827,93.210,,99.383,100.000,83.951,83.951,83.951,84.568,84.568,84.568,86.420,86.420,86.420,86.420,87.037,86.420,87.037,87.037,87.037,87.654,88.272,88.272,85.185,87.654,85.185,88.889,88.889,88.889,85.185,85.185,86.420,86.420,86.420,79.630,79.630,79.630,85.185,85.185,91.975,91.975,91.975,81.481,81.481,81.481,86.420,86.420,86.420,87.037,87.037,86.420,87.654,87.654,87.654,86.420,85.185,85.185,84.568,87.037,87.037,87.037,85.185,84.568,84.568,83.951,87.037
RMNH.INS.1271317_Cx_territans - ATP8 CDS,80.864,80.864,80.864,82.099,82.099,82.099,85.185,84.568,85.185,85.185,85.185,85.185,75.926,76.543,75.926,91.975,93.210,92.593,99.383,,99.383,83.951,83.951,83.951,84.568,84.568,84.568,86.420,86.420,86.420,86.420,87.037,86.420,87.037,87.037,87.037,87.654,88.272,88.272,85.185,87.654,85.185,88.889,88.889,88.889,85.185,85.185,86.420,86.420,86.420,79.630,79.630,79.630,85.185,85.185,91.358,91.358,91.358,81.481,81.481,81.481,86.420,86.420,86.420,87.037,87.037,86.420,87.654,87.654,87.654,86.420,85.185,85.185,84.568,87.037,87.037,87.037,85.185,84.568,84.568,83.951,87.037
RMNH.INS.1271318_Cx_territans - ATP8 CDS,80.864,80.864,80.864,82.099,82.099,82.099,85.185,84.568,85.185,85.185,85.185,85.185,75.926,76.543,75.926,92.593,93.827,93.210,100.000,99.383,,83.951,83.951,83.951,84.568,84.568,84.568,86.420,86.420,86.420,86.420,87.037,86.420,87.037,87.037,87.037,87.654,88.272,88.272,85.185,87.654,85.185,88.889,88.889,88.889,85.185,85.185,86.420,86.420,86.420,79.630,79.630,79.630,85.185,85.185,91.975,91.975,91.975,81.481,81.481,81.481,86.420,86.420,86.420,87.037,87.037,86.420,87.654,87.654,87.654,86.420,85.185,85.185,84.568,87.037,87.037,87.037,85.185,84.568,84.568,83.951,87.037
RMNH.INS.1271319_Ae_cinereus_geminus - ATP8 CDS,79.012,79.012,79.012,83.333,83.333,83.333,92.593,93.210,92.593,88.272,88.272,88.272,79.012,78.395,79.012,83.951,85.185,84.568,83.951,83.951,83.951,,100.000,100.000,88.272,88.272,88.272,91.975,91.975,91.975,91.975,92.593,91.975,89.506,89.506,89.506,92.593,93.210,93.210,91.975,89.506,91.975,90.741,90.741,90.741,84.568,88.272,93.827,93.827,93.827,78.395,78.395,78.395,88.272,88.272,83.951,83.951,83.951,86.420,86.420,86.420,92.593,92.593,92.593,91.975,93.827,93.827,91.975,91.975,91.975,93.827,89.506,89.506,88.889,88.272,88.272,88.272,88.889,90.741,90.123,100.000,83.951
RMNH.INS.1271320_Ae_cinereus_geminus - ATP8 CDS,79.012,79.012,79.012,83.333,83.333,83.333,92.593,93.210,92.593,88.272,88.272,88.272,79.012,78.395,79.012,83.951,85.185,84.568,83.951,83.951,83.951,100.000,,100.000,88.272,88.272,88.272,91.975,91.975,91.975,91.975,92.593,91.975,89.506,89.506,89.506,92.593,93.210,93.210,91.975,89.506,91.975,90.741,90.741,90.741,84.568,88.272,93.827,93.827,93.827,78.395,78.395,78.395,88.272,88.272,83.951,83.951,83.951,86.420,86.420,86.420,92.593,92.593,92.593,91.975,93.827,93.827,91.975,91.975,91.975,93.827,89.506,89.506,88.889,88.272,88.272,88.272,88.889,90.741,90.123,100.000,83.951
RMNH.INS.1271321_Ae_cinereus_geminus - ATP8 CDS,79.012,79.012,79.012,83.333,83.333,83.333,92.593,93.210,92.593,88.272,88.272,88.272,79.012,78.395,79.012,83.951,85.185,84.568,83.951,83.951,83.951,100.000,100.000,,88.272,88.272,88.272,91.975,91.975,91.975,91.975,92.593,91.975,89.506,89.506,89.506,92.593,93.210,93.210,91.975,89.506,91.975,90.741,90.741,90.741,84.568,88.272,93.827,93.827,93.827,78.395,78.395,78.395,88.272,88.272,83.951,83.951,83.951,86.420,86.420,86.420,92.593,92.593,92.593,91.975,93.827,93.827,91.975,91.975,91.975,93.827,89.506,89.506,88.889,88.272,88.272,88.272,88.889,90.741,90.123,100.000,83.951
RMNH.INS.1271322_Cs_longiareolata - ATP8 CDS,79.012,79.012,79.012,82.716,82.716,82.716,87.037,87.654,87.037,90.741,90.741,90.741,77.778,77.160,77.778,83.333,84.568,83.951,84.568,84.568,84.568,88.272,88.272,88.272,,100.000,100.000,89.506,89.506,89.506,89.506,90.123,89.506,87.654,87.654,87.654,88.889,89.506,89.506,86.420,88.272,86.420,89.506,89.506,89.506,87.654,90.741,90.741,90.741,90.741,77.778,77.778,77.778,90.741,90.741,82.716,82.716,82.716,85.185,85.185,85.185,90.123,90.123,90.123,89.506,90.123,90.741,90.741,90.741,90.741,90.741,88.272,88.272,87.654,85.802,85.802,85.802,88.272,88.272,87.654,88.272,87.037
