,RMNH.INS.1271298_An_messeae - COX1 CDS,RMNH.INS.1271299_An_messeae - COX1 CDS,RMNH.INS.1271300_An_messeae - COX1 CDS,RMNH.INS.1271301_Cq_richiardii - COX1 CDS,RMNH.INS.1271302_Cq_richiardii - COX1 CDS,RMNH.INS.1271303_Cq_richiardii - COX1 CDS,RMNH.INS.1271304_Ae_vexans - COX1 CDS,RMNH.INS.1271305_Ae_vexans - COX1 CDS,RMNH.INS.1271306_Ae_vexans - COX1 CDS,RMNH.INS.1271307_Cs_annulata - COX1 CDS,RMNH.INS.1271308_Cs_annulata - COX1 CDS,RMNH.INS.1271309_Cs_annulata - COX1 CDS,RMNH.INS.1271310_An_claviger - COX1 CDS,RMNH.INS.1271311_An_claviger - COX1 CDS,RMNH.INS.1271312_An_claviger - COX1 CDS,RMNH.INS.1271313_Cx_modestus - COX1 CDS,RMNH.INS.1271314_Cx_modestus - COX1 CDS,RMNH.INS.1271315_Cx_modestus - COX1 CDS,RMNH.INS.1271316_Cx_territans - COX1 CDS,RMNH.INS.1271317_Cx_territans - COX1 CDS,RMNH.INS.1271318_Cx_territans - COX1 CDS,RMNH.INS.1271319_Ae_cinereus_geminus - COX1 CDS,RMNH.INS.1271320_Ae_cinereus_geminus - COX1 CDS,RMNH.INS.1271321_Ae_cinereus_geminus - COX1 CDS,RMNH.INS.1271322_Cs_longiareolata - COX1 CDS,RMNH.INS.1271323_Cs_longiareolata - COX1 CDS,RMNH.INS.1271324_Cs_longiareolata - COX1 CDS,RMNH.INS.1271325_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271326_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271327_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271328_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271329_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271330_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271331_Ae_rusticus - COX1 CDS,RMNH.INS.1271332_Ae_rusticus - COX1 CDS,RMNH.INS.1271333_Ae_rusticus - COX1 CDS,RMNH.INS.1271334_Ae_communis - COX1 CDS,RMNH.INS.1271335_Ae_communis - COX1 CDS,RMNH.INS.1271336_Ae_communis - COX1 CDS,RMNH.INS.1271337_Ae_punctor - COX1 CDS,RMNH.INS.1271338_Ae_rusticus - COX1 CDS,RMNH.INS.1271339_Ae_punctor - COX1 CDS,RMNH.INS.1271340_Ae_geniculatus - COX1 CDS,RMNH.INS.1271341_Ae_geniculatus - COX1 CDS,RMNH.INS.1271342_Ae_geniculatus - COX1 CDS,RMNH.INS.1271344_Cs_subochrea - COX1 CDS,RMNH.INS.1271345_Cs_annulata - COX1 CDS,RMNH.INS.1271346_Ae_caspius - COX1 CDS,RMNH.INS.1271347_Ae_caspius - COX1 CDS,RMNH.INS.1271348_Ae_caspius - COX1 CDS,RMNH.INS.1271349_An_plumbeus - COX1 CDS,RMNH.INS.1271350_An_plumbeus - COX1 CDS,RMNH.INS.1271351_An_plumbeus - COX1 CDS,RMNH.INS.1271352_Cs_annulata - COX1 CDS,RMNH.INS.1271354_Cs_annulata - COX1 CDS,RMNH.INS.1271355_Cx_pipiens - COX1 CDS,RMNH.INS.1271356_Cx_pipiens - COX1 CDS,RMNH.INS.1271357_Cx_pipiens - COX1 CDS,RMNH.INS.1271358_Cs_morsitans - COX1 CDS,RMNH.INS.1271359_Cs_morsitans - COX1 CDS,RMNH.INS.1271360_Cs_morsitans - COX1 CDS,RMNH.INS.1271361_Ae_sticticus - COX1 CDS,RMNH.INS.1271362_Ae_sticticus - COX1 CDS,RMNH.INS.1271363_Ae_sticticus - COX1 CDS,RMNH.INS.1271367_Ae_detritus - COX1 CDS,RMNH.INS.1271368_Ae_detritus - COX1 CDS,RMNH.INS.1271369_Ae_caspius - COX1 CDS,RMNH.INS.1271370_Ae_flavescens - COX1 CDS,RMNH.INS.1271371_Ae_flavescens - COX1 CDS,RMNH.INS.1271372_Ae_flavescens - COX1 CDS,RMNH.INS.1271375_Ae_leucomelas - COX1 CDS,RMNH.INS.1271376_Ae_albopictus - COX1 CDS,RMNH.INS.1271377_Ae_albopictus - COX1 CDS,RMNH.INS.1271378_Ae_albopictus - COX1 CDS,RMNH.INS.1271379_Ae_japonicus - COX1 CDS,RMNH.INS.1271380_Ae_japonicus - COX1 CDS,RMNH.INS.1271381_Ae_japonicus - COX1 CDS,RMNH.INS.1271382_Ae_aegypti - COX1 CDS,RMNH.INS.1271383_Ae_aegypti - COX1 CDS,RMNH.INS.1271384_Ae_aegypti - COX1 CDS,RMNH.INS.1271386_Ae_cinereus_geminus - COX1 CDS,RMNH.INS.1271389_Cs_ochroptera - COX1 CDS
RMNH.INS.1271308_Cs_annulata - COX1 CDS,86.919,87.118,86.985,85.591,85.392,85.392,87.583,87.649,87.517,99.867,,99.934,85.193,85.193,85.193,87.915,87.716,87.517,88.048,87.981,88.048,86.388,86.388,86.388,88.579,88.579,88.579,86.321,86.786,86.985,86.321,86.853,86.853,88.446,88.313,88.380,86.985,87.118,87.118,86.321,88.313,86.321,87.317,87.317,87.317,95.944,100.000,87.981,88.247,88.380,84.993,84.993,84.993,100.000,100.000,88.845,88.911,88.977,88.048,87.849,87.849,87.649,87.649,87.517,87.450,87.782,88.247,86.985,86.985,86.786,87.251,86.521,86.521,86.521,86.653,86.653,86.786,85.923,86.388,86.255,86.388,89.177
RMNH.INS.1271309_Cs_annulata - COX1 CDS,86.853,87.052,86.919,85.525,85.325,85.325,87.583,87.649,87.517,99.801,99.934,,85.193,85.193,85.193,87.915,87.782,87.583,87.981,87.915,87.981,86.388,86.388,86.388,88.579,88.579,88.579,86.321,86.786,86.985,86.321,86.853,86.853,88.446,88.313,88.380,86.985,87.118,87.118,86.321,88.313,86.321,87.317,87.317,87.317,95.878,99.934,87.981,88.247,88.380,84.993,84.993,84.993,99.934,99.934,88.845,88.911,88.977,88.048,87.849,87.849,87.649,87.649,87.517,87.450,87.782,88.247,86.985,86.985,86.786,87.251,86.454,86.454,86.454,86.653,86.653,86.786,85.857,86.321,86.189,86.388,89.177
RMNH.INS.1271310_An_claviger - COX1 CDS,88.446,88.513,88.513,85.126,84.993,84.993,85.724,85.790,85.724,85.325,85.193,85.193,,99.801,99.867,87.450,87.185,87.052,85.525,85.458,85.259,84.861,84.861,84.728,84.927,84.927,84.927,85.325,85.525,85.591,85.458,85.591,85.525,85.857,85.724,85.790,86.454,86.587,86.587,84.927,85.724,84.927,86.587,86.587,86.587,85.638,85.193,86.056,86.321,86.189,87.251,87.251,87.251,85.193,85.193,88.048,88.114,87.981,85.392,85.392,85.392,85.923,85.923,85.923,85.657,86.189,86.388,85.458,85.458,85.126,86.321,85.060,85.060,84.927,85.525,85.525,85.525,85.193,85.126,85.392,84.661,86.122
RMNH.INS.1271311_An_claviger - COX1 CDS,88.446,88.513,88.513,85.259,85.126,85.126,85.790,85.857,85.790,85.325,85.193,85.193,99.801,,99.801,87.517,87.251,87.118,85.591,85.525,85.325,84.927,84.927,84.927,84.927,84.927,84.927,85.392,85.591,85.657,85.525,85.657,85.591,86.056,85.923,85.989,86.587,86.720,86.720,84.993,85.923,84.993,86.786,86.786,86.786,85.705,85.193,86.122,86.388,86.255,87.384,87.384,87.384,85.193,85.193,88.114,88.181,88.048,85.591,85.591,85.591,86.056,86.056,86.056,85.790,86.122,86.454,85.392,85.392,85.193,86.521,85.126,85.126,84.993,85.657,85.657,85.657,85.259,85.193,85.458,84.728,86.255
RMNH.INS.1271312_An_claviger - COX1 CDS,88.380,88.446,88.446,85.126,84.993,84.993,85.790,85.857,85.790,85.325,85.193,85.193,99.867,99.801,,87.450,87.185,87.052,85.657,85.591,85.392,84.861,84.861,84.728,84.927,84.927,84.927,85.325,85.525,85.591,85.458,85.591,85.525,85.857,85.724,85.790,86.454,86.587,86.587,85.060,85.724,85.060,86.587,86.587,86.587,85.638,85.193,86.056,86.321,86.189,87.251,87.251,87.251,85.193,85.193,88.114,88.181,88.048,85.392,85.392,85.392,85.923,85.923,85.923,85.657,86.056,86.388,85.325,85.325,85.126,86.321,85.060,85.060,84.927,85.657,85.657,85.657,85.259,85.193,85.458,84.661,86.122
RMNH.INS.1271313_Cx_modestus - COX1 CDS,86.189,86.388,86.189,86.919,86.720,86.720,88.712,88.778,88.645,87.915,87.915,87.915,87.450,87.517,87.450,,98.207,98.074,89.376,89.309,89.110,87.317,87.317,87.251,89.177,89.177,89.177,86.786,86.853,86.919,86.653,86.786,86.720,88.247,88.114,88.048,87.649,87.782,87.782,86.653,88.114,86.653,87.185,87.185,87.185,88.098,87.915,87.915,88.313,88.114,86.056,86.056,86.056,87.915,87.915,93.958,94.024,93.891,87.716,87.583,87.583,88.380,88.380,88.247,87.915,88.313,88.380,86.521,86.521,86.587,88.048,86.454,86.454,86.321,86.853,86.853,86.985,86.985,87.185,87.185,87.185,88.977
RMNH.INS.1271314_Cx_modestus - COX1 CDS,86.189,86.388,86.321,86.919,86.720,86.720,88.778,88.845,88.712,87.716,87.716,87.782,87.185,87.251,87.185,98.207,,99.602,89.177,89.110,88.911,87.317,87.317,87.251,88.911,88.911,88.911,86.786,86.853,86.720,86.653,86.786,86.720,87.981,87.849,87.915,87.384,87.517,87.517,86.321,87.849,86.321,87.185,87.185,87.185,87.965,87.716,87.849,88.247,88.048,85.923,85.923,85.923,87.716,87.716,93.758,93.825,93.692,87.517,87.384,87.384,88.114,88.114,87.981,87.517,87.915,88.181,86.653,86.653,86.853,87.782,86.454,86.454,86.321,86.853,86.853,86.985,86.720,87.052,87.185,87.185,88.645
RMNH.INS.1271315_Cx_modestus - COX1 CDS,85.989,86.189,86.122,86.853,86.653,86.653,88.845,88.911,88.778,87.517,87.517,87.583,87.052,87.118,87.052,98.074,99.602,,89.110,89.044,88.845,87.251,87.251,87.185,88.579,88.579,88.579,86.786,86.853,86.853,86.653,86.786,86.720,88.048,87.915,87.981,87.450,87.583,87.583,86.454,87.915,86.454,87.251,87.251,87.251,87.899,87.517,87.782,88.181,87.981,85.790,85.790,85.790,87.517,87.517,93.493,93.559,93.426,87.583,87.450,87.450,88.114,88.114,87.981,87.517,87.915,88.114,86.587,86.587,86.786,87.782,86.321,86.321,86.189,86.853,86.853,86.985,86.653,86.853,86.985,87.118,88.845
RMNH.INS.1271316_Cx_territans - COX1 CDS,85.989,86.189,86.388,85.657,85.525,85.525,86.919,86.985,86.919,88.114,88.048,87.981,85.525,85.591,85.657,89.376,89.177,89.110,,99.734,99.734,86.985,86.985,86.720,86.521,86.521,86.521,86.587,86.853,86.919,86.587,86.720,86.786,87.384,87.317,87.317,87.782,87.915,87.915,86.985,87.251,86.985,87.450,87.450,87.450,87.699,88.048,87.384,87.583,87.450,85.193,85.193,85.193,88.048,88.048,88.712,88.778,88.712,87.384,87.317,87.317,87.251,87.251,87.185,87.118,87.052,87.649,86.919,86.919,86.720,86.653,85.923,85.923,85.790,87.185,87.185,87.384,86.587,86.853,86.720,86.786,86.985
RMNH.INS.1271317_Cx_territans - COX1 CDS,85.857,86.056,86.255,85.525,85.525,85.525,86.786,86.853,86.786,88.048,87.981,87.915,85.458,85.525,85.591,89.309,89.110,89.044,99.734,,99.734,86.919,86.919,86.653,86.454,86.454,86.454,86.521,86.786,86.853,86.521,86.653,86.720,87.384,87.317,87.317,87.716,87.849,87.849,86.919,87.251,86.919,87.384,87.384,87.384,87.633,87.981,87.317,87.517,87.384,85.392,85.392,85.392,87.981,87.981,88.645,88.712,88.645,87.251,87.185,87.185,87.317,87.317,87.251,87.052,86.985,87.583,86.919,86.919,86.720,86.587,85.989,85.989,85.857,87.118,87.118,87.317,86.521,86.786,86.786,86.720,87.052
RMNH.INS.1271318_Cx_territans - COX1 CDS,85.989,86.189,86.388,85.392,85.392,85.392,86.653,86.720,86.653,88.114,88.048,87.981,85.259,85.325,85.392,89.110,88.911,88.845,99.734,99.734,,86.720,86.720,86.454,86.321,86.321,86.321,86.321,86.587,86.786,86.321,86.587,86.653,87.251,87.185,87.185,87.517,87.649,87.649,86.720,87.118,86.720,87.185,87.185,87.185,87.434,88.048,87.118,87.317,87.185,85.325,85.325,85.325,88.048,88.048,88.446,88.513,88.446,87.251,87.185,87.185,87.118,87.118,87.052,86.919,86.853,87.384,86.720,86.720,86.521,86.388,85.790,85.790,85.657,87.052,87.052,87.251,86.321,86.720,86.587,86.653,86.985
RMNH.INS.1271319_Ae_cinereus_geminus - COX1 CDS,86.388,86.454,86.321,84.728,84.661,84.661,89.376,89.442,89.309,86.321,86.388,86.388,84.861,84.927,84.861,87.317,87.317,87.251,86.985,86.919,86.720,,100.000,99.734,86.587,86.587,86.587,87.981,88.247,88.181,87.981,88.048,87.981,89.973,89.907,89.907,87.450,87.450,87.450,87.185,89.841,87.185,87.517,87.517,87.517,86.503,86.388,88.446,88.712,88.446,86.122,86.122,86.122,86.388,86.388,88.114,88.114,88.048,86.189,86.255,86.255,88.048,88.048,88.114,88.247,88.380,88.778,87.317,87.317,87.384,88.778,88.845,88.845,88.778,88.114,88.114,88.181,89.442,89.575,89.575,99.469,86.388
RMNH.INS.1271320_Ae_cinereus_geminus - COX1 CDS,86.388,86.454,86.321,84.728,84.661,84.661,89.376,89.442,89.309,86.321,86.388,86.388,84.861,84.927,84.861,87.317,87.317,87.251,86.985,86.919,86.720,100.000,,99.734,86.587,86.587,86.587,87.981,88.247,88.181,87.981,88.048,87.981,89.973,89.907,89.907,87.450,87.450,87.450,87.185,89.841,87.185,87.517,87.517,87.517,86.503,86.388,88.446,88.712,88.446,86.122,86.122,86.122,86.388,86.388,88.114,88.114,88.048,86.189,86.255,86.255,88.048,88.048,88.114,88.247,88.380,88.778,87.317,87.317,87.384,88.778,88.845,88.845,88.778,88.114,88.114,88.181,89.442,89.575,89.575,99.469,86.388
RMNH.INS.1271321_Ae_cinereus_geminus - COX1 CDS,86.388,86.454,86.321,84.728,84.661,84.661,89.309,89.376,89.243,86.321,86.388,86.388,84.728,84.927,84.728,87.251,87.251,87.185,86.720,86.653,86.454,99.734,99.734,,86.587,86.587,86.587,88.048,88.181,88.114,88.048,87.981,87.782,89.973,89.907,89.907,87.450,87.450,87.450,87.251,89.841,87.251,87.450,87.450,87.450,86.436,86.388,88.380,88.778,88.513,86.056,86.056,86.056,86.388,86.388,88.048,88.048,87.981,86.321,86.388,86.388,87.981,87.981,88.048,88.048,88.247,88.845,87.517,87.517,87.583,88.845,88.712,88.712,88.645,88.114,88.114,88.181,89.376,89.509,89.509,99.336,86.388
RMNH.INS.1271322_Cs_longiareolata - COX1 CDS,85.923,85.989,86.189,86.321,86.122,86.122,87.118,87.185,87.052,88.579,88.579,88.579,84.927,84.927,84.927,89.177,88.911,88.579,86.521,86.454,86.321,86.587,86.587,86.587,,100.000,100.000,86.189,86.321,86.255,86.189,86.321,86.255,87.583,87.517,87.517,86.321,86.454,86.454,85.790,87.450,85.790,86.919,86.919,86.919,88.098,88.579,86.653,87.118,86.919,86.122,86.122,86.122,88.579,88.579,88.778,88.845,88.778,87.517,87.384,87.384,87.052,87.052,86.919,87.052,87.052,87.251,86.388,86.388,86.454,86.587,86.521,86.521,86.388,85.923,85.923,86.122,86.521,86.720,86.853,86.388,88.114
RMNH.INS.1271323_Cs_longiareolata - COX1 CDS,85.923,85.989,86.189,86.321,86.122,86.122,87.118,87.185,87.052,88.579,88.579,88.579,84.927,84.927,84.927,89.177,88.911,88.579,86.521,86.454,86.321,86.587,86.587,86.587,100.000,,100.000,86.189,86.321,86.255,86.189,86.321,86.255,87.583,87.517,87.517,86.321,86.454,86.454,85.790,87.450,85.790,86.919,86.919,86.919,88.098,88.579,86.653,87.118,86.919,86.122,86.122,86.122,88.579,88.579,88.778,88.845,88.778,87.517,87.384,87.384,87.052,87.052,86.919,87.052,87.052,87.251,86.388,86.388,86.454,86.587,86.521,86.521,86.388,85.923,85.923,86.122,86.521,86.720,86.853,86.388,88.114
