,RMNH.INS.1271298_An_messeae - ND4L CDS,RMNH.INS.1271299_An_messeae - ND4L CDS,RMNH.INS.1271300_An_messeae - ND4L CDS,RMNH.INS.1271301_Cq_richiardii - ND4L CDS,RMNH.INS.1271302_Cq_richiardii - ND4L CDS,RMNH.INS.1271303_Cq_richiardii - ND4L CDS,RMNH.INS.1271304_Ae_vexans - ND4L CDS,RMNH.INS.1271305_Ae_vexans - ND4L CDS,RMNH.INS.1271306_Ae_vexans - ND4L CDS,RMNH.INS.1271307_Cs_annulata - ND4L CDS,RMNH.INS.1271308_Cs_annulata - ND4L CDS,RMNH.INS.1271309_Cs_annulata - ND4L CDS,RMNH.INS.1271310_An_claviger - ND4L CDS,RMNH.INS.1271311_An_claviger - ND4L CDS,RMNH.INS.1271312_An_claviger - ND4L CDS,RMNH.INS.1271313_Cx_modestus - ND4L CDS,RMNH.INS.1271314_Cx_modestus - ND4L CDS,RMNH.INS.1271315_Cx_modestus - ND4L CDS,RMNH.INS.1271316_Cx_territans - ND4L CDS,RMNH.INS.1271317_Cx_territans - ND4L CDS,RMNH.INS.1271318_Cx_territans - ND4L CDS,RMNH.INS.1271319_Ae_cinereus_geminus - ND4L CDS,RMNH.INS.1271320_Ae_cinereus_geminus - ND4L CDS,RMNH.INS.1271321_Ae_cinereus_geminus - ND4L CDS,RMNH.INS.1271322_Cs_longiareolata - ND4L CDS,RMNH.INS.1271323_Cs_longiareolata - ND4L CDS,RMNH.INS.1271324_Cs_longiareolata - ND4L CDS,RMNH.INS.1271325_Ae_annulipes_cantans - ND4L CDS,RMNH.INS.1271326_Ae_annulipes_cantans - ND4L CDS,RMNH.INS.1271327_Ae_annulipes_cantans - ND4L CDS,RMNH.INS.1271328_Ae_annulipes_cantans - ND4L CDS,RMNH.INS.1271329_Ae_annulipes_cantans - ND4L CDS,RMNH.INS.1271330_Ae_annulipes_cantans - ND4L CDS,RMNH.INS.1271331_Ae_rusticus - ND4L CDS,RMNH.INS.1271332_Ae_rusticus - ND4L CDS,RMNH.INS.1271333_Ae_rusticus - ND4L CDS,RMNH.INS.1271334_Ae_communis - ND4L CDS,RMNH.INS.1271335_Ae_communis - ND4L CDS,RMNH.INS.1271336_Ae_communis - ND4L CDS,RMNH.INS.1271337_Ae_punctor - ND4L CDS,RMNH.INS.1271338_Ae_rusticus - ND4L CDS,RMNH.INS.1271339_Ae_punctor - ND4L CDS,RMNH.INS.1271340_Ae_geniculatus - ND4L CDS,RMNH.INS.1271341_Ae_geniculatus - ND4L CDS,RMNH.INS.1271342_Ae_geniculatus - ND4L CDS,RMNH.INS.1271344_Cs_subochrea - ND4L CDS,RMNH.INS.1271345_Cs_annulata - ND4L CDS,RMNH.INS.1271346_Ae_caspius - ND4L CDS,RMNH.INS.1271347_Ae_caspius - ND4L CDS,RMNH.INS.1271348_Ae_caspius - ND4L CDS,RMNH.INS.1271349_An_plumbeus - ND4L CDS,RMNH.INS.1271350_An_plumbeus - ND4L CDS,RMNH.INS.1271351_An_plumbeus - ND4L CDS,RMNH.INS.1271352_Cs_annulata - ND4L CDS,RMNH.INS.1271354_Cs_annulata - ND4L CDS,RMNH.INS.1271355_Cx_pipiens - ND4L CDS,RMNH.INS.1271356_Cx_pipiens - ND4L CDS,RMNH.INS.1271357_Cx_pipiens - ND4L CDS,RMNH.INS.1271358_Cs_morsitans - ND4L CDS,RMNH.INS.1271359_Cs_morsitans - ND4L CDS,RMNH.INS.1271360_Cs_morsitans - ND4L CDS,RMNH.INS.1271361_Ae_sticticus - ND4L CDS,RMNH.INS.1271362_Ae_sticticus - ND4L CDS,RMNH.INS.1271363_Ae_sticticus - ND4L CDS,RMNH.INS.1271367_Ae_detritus - ND4L CDS,RMNH.INS.1271368_Ae_detritus - ND4L CDS,RMNH.INS.1271369_Ae_caspius - ND4L CDS,RMNH.INS.1271370_Ae_flavescens - ND4L CDS,RMNH.INS.1271371_Ae_flavescens - ND4L CDS,RMNH.INS.1271372_Ae_flavescens - ND4L CDS,RMNH.INS.1271375_Ae_leucomelas - ND4L CDS,RMNH.INS.1271376_Ae_albopictus - ND4L CDS,RMNH.INS.1271377_Ae_albopictus - ND4L CDS,RMNH.INS.1271378_Ae_albopictus - ND4L CDS,RMNH.INS.1271379_Ae_japonicus - ND4L CDS,RMNH.INS.1271380_Ae_japonicus - ND4L CDS,RMNH.INS.1271381_Ae_japonicus - ND4L CDS,RMNH.INS.1271382_Ae_aegypti - ND4L CDS,RMNH.INS.1271383_Ae_aegypti - ND4L CDS,RMNH.INS.1271384_Ae_aegypti - ND4L CDS,RMNH.INS.1271386_Ae_cinereus_geminus - ND4L CDS,RMNH.INS.1271389_Cs_ochroptera - ND4L CDS
RMNH.INS.1271308_Cs_annulata - ND4L CDS,84.667,85.000,84.333,87.000,87.000,87.000,88.667,88.667,88.667,100.000,,100.000,84.667,84.667,84.667,88.333,89.333,89.333,87.667,87.667,87.667,87.333,87.667,87.667,89.000,89.000,89.000,89.000,89.333,88.667,89.000,89.000,89.000,88.333,88.333,88.000,90.000,90.000,90.000,87.667,88.333,87.667,88.000,88.000,87.333,97.667,100.000,89.667,89.667,90.000,84.000,84.000,84.000,100.000,100.000,90.000,90.000,90.000,90.667,90.667,90.667,89.333,89.333,89.333,88.667,90.000,89.667,88.667,88.667,88.667,89.333,86.000,86.000,86.000,87.333,87.333,87.667,85.000,85.000,85.000,87.667,90.667
RMNH.INS.1271309_Cs_annulata - ND4L CDS,84.667,85.000,84.333,87.000,87.000,87.000,88.667,88.667,88.667,100.000,100.000,,84.667,84.667,84.667,88.333,89.333,89.333,87.667,87.667,87.667,87.333,87.667,87.667,89.000,89.000,89.000,89.000,89.333,88.667,89.000,89.000,89.000,88.333,88.333,88.000,90.000,90.000,90.000,87.667,88.333,87.667,88.000,88.000,87.333,97.667,100.000,89.667,89.667,90.000,84.000,84.000,84.000,100.000,100.000,90.000,90.000,90.000,90.667,90.667,90.667,89.333,89.333,89.333,88.667,90.000,89.667,88.667,88.667,88.667,89.333,86.000,86.000,86.000,87.333,87.333,87.667,85.000,85.000,85.000,87.667,90.667
RMNH.INS.1271310_An_claviger - ND4L CDS,94.000,94.333,93.667,82.000,82.000,82.000,86.000,86.000,86.000,84.667,84.667,84.667,,100.000,100.000,84.000,84.667,84.667,82.667,82.667,82.667,85.000,85.333,85.333,84.667,84.667,84.667,87.667,88.000,87.333,87.667,87.667,87.667,87.333,87.333,87.000,88.333,88.333,88.333,85.667,87.333,85.667,86.667,86.667,86.000,85.333,84.667,87.667,87.000,87.667,90.667,90.667,90.667,84.667,84.667,85.333,85.333,85.333,85.333,85.333,85.333,87.000,87.000,87.000,87.333,88.333,87.000,87.667,87.667,87.667,88.333,83.667,83.667,83.667,85.333,85.333,85.667,84.333,84.667,84.333,85.333,85.667
RMNH.INS.1271311_An_claviger - ND4L CDS,94.000,94.333,93.667,82.000,82.000,82.000,86.000,86.000,86.000,84.667,84.667,84.667,100.000,,100.000,84.000,84.667,84.667,82.667,82.667,82.667,85.000,85.333,85.333,84.667,84.667,84.667,87.667,88.000,87.333,87.667,87.667,87.667,87.333,87.333,87.000,88.333,88.333,88.333,85.667,87.333,85.667,86.667,86.667,86.000,85.333,84.667,87.667,87.000,87.667,90.667,90.667,90.667,84.667,84.667,85.333,85.333,85.333,85.333,85.333,85.333,87.000,87.000,87.000,87.333,88.333,87.000,87.667,87.667,87.667,88.333,83.667,83.667,83.667,85.333,85.333,85.667,84.333,84.667,84.333,85.333,85.667
RMNH.INS.1271312_An_claviger - ND4L CDS,94.000,94.333,93.667,82.000,82.000,82.000,86.000,86.000,86.000,84.667,84.667,84.667,100.000,100.000,,84.000,84.667,84.667,82.667,82.667,82.667,85.000,85.333,85.333,84.667,84.667,84.667,87.667,88.000,87.333,87.667,87.667,87.667,87.333,87.333,87.000,88.333,88.333,88.333,85.667,87.333,85.667,86.667,86.667,86.000,85.333,84.667,87.667,87.000,87.667,90.667,90.667,90.667,84.667,84.667,85.333,85.333,85.333,85.333,85.333,85.333,87.000,87.000,87.000,87.333,88.333,87.000,87.667,87.667,87.667,88.333,83.667,83.667,83.667,85.333,85.333,85.667,84.333,84.667,84.333,85.333,85.667
RMNH.INS.1271313_Cx_modestus - ND4L CDS,85.333,85.667,85.000,87.000,87.000,87.000,87.000,87.000,87.000,88.333,88.333,88.333,84.000,84.000,84.000,,98.990,98.990,92.593,92.593,92.593,86.333,87.000,86.667,86.667,86.667,86.667,88.333,88.667,88.333,88.333,88.333,88.333,88.333,88.333,88.000,86.000,86.000,86.000,85.000,88.000,85.000,88.000,88.000,87.333,88.667,88.333,88.333,88.000,88.667,84.333,84.333,84.333,88.333,88.333,95.286,95.286,95.286,89.333,89.333,89.333,87.333,87.333,87.333,88.000,88.667,88.000,88.333,88.333,88.333,87.333,87.333,87.333,87.333,86.000,86.000,86.333,86.000,86.000,85.667,86.667,87.333
RMNH.INS.1271314_Cx_modestus - ND4L CDS,86.333,86.667,86.000,88.000,88.000,88.000,87.667,87.667,87.667,89.333,89.333,89.333,84.667,84.667,84.667,98.990,,100.000,92.256,92.256,92.256,87.000,87.667,87.333,87.667,87.667,87.667,88.667,89.000,88.667,88.667,88.667,88.667,89.333,89.333,89.000,87.000,87.000,87.000,86.000,89.000,86.000,89.000,89.000,88.333,89.667,89.333,89.333,89.000,89.667,85.000,85.000,85.000,89.333,89.333,95.623,95.623,95.623,90.000,90.000,90.000,88.333,88.333,88.333,89.000,89.667,89.000,88.667,88.667,88.667,88.333,88.000,88.000,88.000,87.000,87.000,87.333,86.667,86.667,86.333,87.333,88.000
RMNH.INS.1271315_Cx_modestus - ND4L CDS,86.333,86.667,86.000,88.000,88.000,88.000,87.667,87.667,87.667,89.333,89.333,89.333,84.667,84.667,84.667,98.990,100.000,,92.256,92.256,92.256,87.000,87.667,87.333,87.667,87.667,87.667,88.667,89.000,88.667,88.667,88.667,88.667,89.333,89.333,89.000,87.000,87.000,87.000,86.000,89.000,86.000,89.000,89.000,88.333,89.667,89.333,89.333,89.000,89.667,85.000,85.000,85.000,89.333,89.333,95.623,95.623,95.623,90.000,90.000,90.000,88.333,88.333,88.333,89.000,89.667,89.000,88.667,88.667,88.667,88.333,88.000,88.000,88.000,87.000,87.000,87.333,86.667,86.667,86.333,87.333,88.000
RMNH.INS.1271316_Cx_territans - ND4L CDS,83.333,83.667,83.000,85.667,85.667,85.667,85.667,85.667,85.667,87.667,87.667,87.667,82.667,82.667,82.667,92.593,92.256,92.256,,100.000,100.000,86.333,86.667,86.667,86.000,86.000,86.000,88.333,88.667,88.333,88.333,87.667,88.333,87.000,87.000,86.667,85.333,85.333,85.333,83.000,87.000,83.000,86.667,86.667,86.000,88.000,87.667,88.333,88.000,88.667,82.667,82.667,82.667,87.667,87.667,92.256,92.256,92.256,88.667,88.667,88.667,88.000,88.000,88.000,87.333,88.000,88.000,88.333,88.333,88.333,87.333,86.000,86.000,86.000,85.667,85.667,86.000,86.000,86.000,85.667,86.667,87.000
RMNH.INS.1271317_Cx_territans - ND4L CDS,83.333,83.667,83.000,85.667,85.667,85.667,85.667,85.667,85.667,87.667,87.667,87.667,82.667,82.667,82.667,92.593,92.256,92.256,100.000,,100.000,86.333,86.667,86.667,86.000,86.000,86.000,88.333,88.667,88.333,88.333,87.667,88.333,87.000,87.000,86.667,85.333,85.333,85.333,83.000,87.000,83.000,86.667,86.667,86.000,88.000,87.667,88.333,88.000,88.667,82.667,82.667,82.667,87.667,87.667,92.256,92.256,92.256,88.667,88.667,88.667,88.000,88.000,88.000,87.333,88.000,88.000,88.333,88.333,88.333,87.333,86.000,86.000,86.000,85.667,85.667,86.000,86.000,86.000,85.667,86.667,87.000
RMNH.INS.1271318_Cx_territans - ND4L CDS,83.333,83.667,83.000,85.667,85.667,85.667,85.667,85.667,85.667,87.667,87.667,87.667,82.667,82.667,82.667,92.593,92.256,92.256,100.000,100.000,,86.333,86.667,86.667,86.000,86.000,86.000,88.333,88.667,88.333,88.333,87.667,88.333,87.000,87.000,86.667,85.333,85.333,85.333,83.000,87.000,83.000,86.667,86.667,86.000,88.000,87.667,88.333,88.000,88.667,82.667,82.667,82.667,87.667,87.667,92.256,92.256,92.256,88.667,88.667,88.667,88.000,88.000,88.000,87.333,88.000,88.000,88.333,88.333,88.333,87.333,86.000,86.000,86.000,85.667,85.667,86.000,86.000,86.000,85.667,86.667,87.000
RMNH.INS.1271319_Ae_cinereus_geminus - ND4L CDS,84.333,84.667,84.667,86.532,86.532,86.532,92.929,92.929,92.929,87.333,87.333,87.333,85.000,85.000,85.000,86.333,87.000,87.000,86.333,86.333,86.333,,99.327,99.663,87.667,87.667,87.667,93.266,93.603,92.929,93.266,93.266,93.266,93.266,93.266,92.929,91.582,91.582,91.582,90.572,93.266,90.572,92.593,92.593,91.919,88.333,87.333,93.939,93.266,93.939,83.333,83.333,83.333,87.333,87.333,87.000,87.000,87.000,90.333,90.333,90.333,93.603,93.603,93.603,91.919,92.929,93.266,92.929,92.929,92.929,92.929,90.236,90.236,90.236,91.582,91.582,91.246,90.236,90.236,89.899,99.663,87.333
RMNH.INS.1271320_Ae_cinereus_geminus - ND4L CDS,84.667,85.000,85.000,86.869,86.869,86.869,93.603,93.603,93.603,87.667,87.667,87.667,85.333,85.333,85.333,87.000,87.667,87.667,86.667,86.667,86.667,99.327,,99.663,88.000,88.000,88.000,93.939,94.276,93.603,93.939,93.939,93.939,93.939,93.939,93.603,91.582,91.582,91.582,90.909,93.939,90.909,92.929,92.929,92.256,89.000,87.667,93.939,93.266,93.939,83.333,83.333,83.333,87.667,87.667,87.667,87.667,87.667,90.667,90.667,90.667,93.603,93.603,93.603,91.919,92.929,93.266,93.603,93.603,93.603,93.266,90.909,90.909,90.909,91.919,91.919,91.582,90.572,90.572,90.236,99.663,87.667
RMNH.INS.1271321_Ae_cinereus_geminus - ND4L CDS,84.667,85.000,85.000,86.869,86.869,86.869,93.266,93.266,93.266,87.667,87.667,87.667,85.333,85.333,85.333,86.667,87.333,87.333,86.667,86.667,86.667,99.663,99.663,,88.000,88.000,88.000,93.603,93.939,93.266,93.603,93.603,93.603,93.603,93.603,93.266,91.582,91.582,91.582,90.572,93.603,90.572,92.929,92.929,92.256,88.667,87.667,93.939,93.266,93.939,83.333,83.333,83.333,87.667,87.667,87.333,87.333,87.333,90.667,90.667,90.667,93.603,93.603,93.603,91.919,92.929,93.266,93.266,93.266,93.266,93.266,90.572,90.572,90.572,91.582,91.582,91.246,90.572,90.572,90.236,100.000,87.667
RMNH.INS.1271322_Cs_longiareolata - ND4L CDS,85.000,85.333,84.667,87.000,87.000,87.000,88.000,88.000,88.000,89.000,89.000,89.000,84.667,84.667,84.667,86.667,87.667,87.667,86.000,86.000,86.000,87.667,88.000,88.000,,100.000,100.000,89.000,89.333,88.667,89.000,89.333,89.333,88.333,88.333,88.000,88.667,88.667,88.667,87.667,88.333,87.667,88.667,88.667,88.333,88.333,89.000,89.667,89.000,89.667,85.333,85.333,85.333,89.000,89.000,86.667,86.667,86.667,90.333,90.333,90.333,88.333,88.333,88.333,88.333,89.333,89.000,88.667,88.667,88.667,89.000,86.333,86.333,86.333,87.000,87.000,87.333,88.000,88.000,87.667,88.000,89.333
RMNH.INS.1271323_Cs_longiareolata - ND4L CDS,85.000,85.333,84.667,87.000,87.000,87.000,88.000,88.000,88.000,89.000,89.000,89.000,84.667,84.667,84.667,86.667,87.667,87.667,86.000,86.000,86.000,87.667,88.000,88.000,100.000,,100.000,89.000,89.333,88.667,89.000,89.333,89.333,88.333,88.333,88.000,88.667,88.667,88.667,87.667,88.333,87.667,88.667,88.667,88.333,88.333,89.000,89.667,89.000,89.667,85.333,85.333,85.333,89.000,89.000,86.667,86.667,86.667,90.333,90.333,90.333,88.333,88.333,88.333,88.333,89.333,89.000,88.667,88.667,88.667,89.000,86.333,86.333,86.333,87.000,87.000,87.333,88.000,88.000,87.667,88.000,89.333
