,RMNH.INS.1271298_An_messeae - ND3 CDS,RMNH.INS.1271299_An_messeae - ND3 CDS,RMNH.INS.1271300_An_messeae - ND3 CDS,RMNH.INS.1271301_Cq_richiardii - ND3 CDS,RMNH.INS.1271302_Cq_richiardii - ND3 CDS,RMNH.INS.1271303_Cq_richiardii - ND3 CDS,RMNH.INS.1271304_Ae_vexans - ND3 CDS,RMNH.INS.1271305_Ae_vexans - ND3 CDS,RMNH.INS.1271306_Ae_vexans - ND3 CDS,RMNH.INS.1271307_Cs_annulata - ND3 CDS,RMNH.INS.1271308_Cs_annulata - ND3 CDS,RMNH.INS.1271309_Cs_annulata - ND3 CDS,RMNH.INS.1271310_An_claviger - ND3 CDS,RMNH.INS.1271311_An_claviger - ND3 CDS,RMNH.INS.1271312_An_claviger - ND3 CDS,RMNH.INS.1271313_Cx_modestus - ND3 CDS,RMNH.INS.1271314_Cx_modestus - ND3 CDS,RMNH.INS.1271315_Cx_modestus - ND3 CDS,RMNH.INS.1271316_Cx_territans - ND3 CDS,RMNH.INS.1271317_Cx_territans - ND3 CDS,RMNH.INS.1271318_Cx_territans - ND3 CDS,RMNH.INS.1271319_Ae_cinereus_geminus - ND3 CDS,RMNH.INS.1271320_Ae_cinereus_geminus - ND3 CDS,RMNH.INS.1271321_Ae_cinereus_geminus - ND3 CDS,RMNH.INS.1271322_Cs_longiareolata - ND3 CDS,RMNH.INS.1271323_Cs_longiareolata - ND3 CDS,RMNH.INS.1271324_Cs_longiareolata - ND3 CDS,RMNH.INS.1271325_Ae_annulipes_cantans - ND3 CDS,RMNH.INS.1271326_Ae_annulipes_cantans - ND3 CDS,RMNH.INS.1271327_Ae_annulipes_cantans - ND3 CDS,RMNH.INS.1271328_Ae_annulipes_cantans - ND3 CDS,RMNH.INS.1271329_Ae_annulipes_cantans - ND3 CDS,RMNH.INS.1271330_Ae_annulipes_cantans - ND3 CDS,RMNH.INS.1271331_Ae_rusticus - ND3 CDS,RMNH.INS.1271332_Ae_rusticus - ND3 CDS,RMNH.INS.1271333_Ae_rusticus - ND3 CDS,RMNH.INS.1271334_Ae_communis - ND3 CDS,RMNH.INS.1271335_Ae_communis - ND3 CDS,RMNH.INS.1271336_Ae_communis - ND3 CDS,RMNH.INS.1271337_Ae_punctor - ND3 CDS,RMNH.INS.1271338_Ae_rusticus - ND3 CDS,RMNH.INS.1271339_Ae_punctor - ND3 CDS,RMNH.INS.1271340_Ae_geniculatus - ND3 CDS,RMNH.INS.1271341_Ae_geniculatus - ND3 CDS,RMNH.INS.1271342_Ae_geniculatus - ND3 CDS,RMNH.INS.1271344_Cs_subochrea - ND3 CDS,RMNH.INS.1271345_Cs_annulata - ND3 CDS,RMNH.INS.1271346_Ae_caspius - ND3 CDS,RMNH.INS.1271347_Ae_caspius - ND3 CDS,RMNH.INS.1271348_Ae_caspius - ND3 CDS,RMNH.INS.1271349_An_plumbeus - ND3 CDS,RMNH.INS.1271350_An_plumbeus - ND3 CDS,RMNH.INS.1271351_An_plumbeus - ND3 CDS,RMNH.INS.1271352_Cs_annulata - ND3 CDS,RMNH.INS.1271354_Cs_annulata - ND3 CDS,RMNH.INS.1271355_Cx_pipiens - ND3 CDS,RMNH.INS.1271356_Cx_pipiens - ND3 CDS,RMNH.INS.1271357_Cx_pipiens - ND3 CDS,RMNH.INS.1271358_Cs_morsitans - ND3 CDS,RMNH.INS.1271359_Cs_morsitans - ND3 CDS,RMNH.INS.1271360_Cs_morsitans - ND3 CDS,RMNH.INS.1271361_Ae_sticticus - ND3 CDS,RMNH.INS.1271362_Ae_sticticus - ND3 CDS,RMNH.INS.1271363_Ae_sticticus - ND3 CDS,RMNH.INS.1271367_Ae_detritus - ND3 CDS,RMNH.INS.1271368_Ae_detritus - ND3 CDS,RMNH.INS.1271369_Ae_caspius - ND3 CDS,RMNH.INS.1271370_Ae_flavescens - ND3 CDS,RMNH.INS.1271371_Ae_flavescens - ND3 CDS,RMNH.INS.1271372_Ae_flavescens - ND3 CDS,RMNH.INS.1271375_Ae_leucomelas - ND3 CDS,RMNH.INS.1271376_Ae_albopictus - ND3 CDS,RMNH.INS.1271377_Ae_albopictus - ND3 CDS,RMNH.INS.1271378_Ae_albopictus - ND3 CDS,RMNH.INS.1271379_Ae_japonicus - ND3 CDS,RMNH.INS.1271380_Ae_japonicus - ND3 CDS,RMNH.INS.1271381_Ae_japonicus - ND3 CDS,RMNH.INS.1271382_Ae_aegypti - ND3 CDS,RMNH.INS.1271383_Ae_aegypti - ND3 CDS,RMNH.INS.1271384_Ae_aegypti - ND3 CDS,RMNH.INS.1271386_Ae_cinereus_geminus - ND3 CDS,RMNH.INS.1271389_Cs_ochroptera - ND3 CDS
RMNH.INS.1271308_Cs_annulata - ND3 CDS,83.898,83.333,83.333,85.311,85.593,85.593,90.678,90.678,90.678,100.000,,98.319,86.723,87.288,87.006,88.796,87.955,88.235,90.678,90.678,90.678,88.796,89.076,89.076,89.076,89.076,89.076,90.678,90.395,90.960,90.678,90.678,90.678,90.678,90.960,90.395,87.853,88.136,88.136,87.571,90.678,87.571,88.983,88.983,88.983,96.078,100.000,90.395,90.395,90.395,84.463,84.463,84.463,100.000,100.000,89.916,89.916,89.916,91.597,91.597,91.597,88.701,88.701,88.701,90.113,90.395,90.395,90.395,90.395,90.395,86.441,89.831,89.831,89.831,85.876,85.876,86.158,89.266,89.266,89.266,89.076,91.317
RMNH.INS.1271309_Cs_annulata - ND3 CDS,83.051,82.486,82.486,84.746,85.028,85.028,90.113,90.113,90.113,98.319,98.319,,85.593,86.158,85.876,88.515,87.675,87.955,90.395,90.395,90.395,88.796,89.076,89.076,89.076,89.076,89.076,90.678,90.395,90.960,90.678,90.678,90.678,90.678,90.960,90.395,87.853,88.136,88.136,87.571,90.678,87.571,88.983,88.983,88.983,96.639,98.319,90.395,90.395,90.395,83.898,83.898,83.898,98.319,98.319,89.076,89.076,89.076,91.036,91.036,91.036,88.701,88.701,88.701,90.678,90.960,90.395,90.395,90.395,90.395,86.441,89.831,89.831,89.831,85.876,85.876,86.158,88.701,88.701,88.701,89.076,90.196
RMNH.INS.1271310_An_claviger - ND3 CDS,87.571,87.571,87.571,81.638,81.638,81.638,83.333,83.333,83.333,86.723,86.723,85.593,,99.153,99.435,84.181,83.333,83.898,84.463,84.463,84.463,83.333,83.051,83.051,85.028,85.028,85.028,83.616,83.333,84.181,83.616,83.333,83.333,84.463,84.746,84.463,81.356,81.921,81.921,83.333,84.463,83.333,85.593,85.593,85.593,85.028,86.723,84.746,84.746,84.746,88.701,88.701,88.701,86.723,86.723,84.463,84.463,84.463,84.181,84.181,84.181,84.181,84.181,84.181,85.311,85.593,84.746,82.486,82.486,82.486,81.921,84.746,84.746,84.746,81.356,81.356,81.638,84.746,84.463,85.028,83.051,83.898
RMNH.INS.1271311_An_claviger - ND3 CDS,88.136,87.571,88.136,82.203,82.203,82.203,83.898,83.898,83.898,87.288,87.288,86.158,99.153,,99.718,84.746,83.898,84.463,85.028,85.028,85.028,83.898,83.616,83.616,85.593,85.593,85.593,84.181,83.898,84.746,84.181,83.898,83.898,85.028,85.311,85.028,81.921,82.486,82.486,83.333,85.028,83.333,86.158,86.158,86.158,85.311,87.288,85.311,85.311,85.311,88.701,88.701,88.701,87.288,87.288,85.028,85.028,85.028,84.746,84.746,84.746,84.463,84.463,84.463,85.876,86.158,85.311,83.051,83.051,83.051,82.486,85.028,85.028,85.028,81.921,81.921,82.203,85.311,85.028,85.593,83.616,84.463
RMNH.INS.1271312_An_claviger - ND3 CDS,87.853,87.853,87.853,81.921,81.921,81.921,83.616,83.616,83.616,87.006,87.006,85.876,99.435,99.718,,84.463,83.616,84.181,84.746,84.746,84.746,83.616,83.333,83.333,85.311,85.311,85.311,83.898,83.616,84.463,83.898,83.616,83.616,84.746,85.028,84.746,81.638,82.203,82.203,83.616,84.746,83.616,85.876,85.876,85.876,85.028,87.006,85.028,85.028,85.028,88.418,88.418,88.418,87.006,87.006,84.746,84.746,84.746,84.463,84.463,84.463,84.181,84.181,84.181,85.593,85.876,85.028,82.768,82.768,82.768,82.203,84.746,84.746,84.746,81.638,81.638,81.921,85.028,84.746,85.311,83.333,84.181
RMNH.INS.1271313_Cx_modestus - ND3 CDS,84.746,84.181,84.746,86.441,86.723,86.723,89.831,89.831,89.831,88.796,88.796,88.515,84.181,84.746,84.463,,98.880,97.759,94.068,94.068,94.068,88.796,89.076,89.076,88.796,88.796,88.796,88.983,88.701,88.701,88.983,88.418,88.418,90.113,90.395,89.831,86.723,86.723,86.723,86.441,90.113,86.441,87.853,87.853,87.853,88.796,88.796,89.831,90.395,89.548,84.181,84.181,84.181,88.796,88.796,94.958,94.958,94.958,89.636,89.636,89.636,86.441,86.441,86.441,87.853,88.136,90.395,87.853,87.853,87.853,87.288,89.548,89.548,89.548,84.746,84.746,85.311,87.571,87.853,87.853,89.076,88.235
RMNH.INS.1271314_Cx_modestus - ND3 CDS,84.746,84.746,85.311,85.311,85.593,85.593,89.266,89.266,89.266,87.955,87.955,87.675,83.333,83.898,83.616,98.880,,98.880,94.068,94.068,94.068,88.515,88.796,88.796,88.515,88.515,88.515,88.701,88.418,87.853,88.701,87.571,87.571,90.113,89.831,89.831,86.441,86.441,86.441,86.441,90.113,86.441,87.288,87.288,87.288,87.955,87.955,90.113,90.113,89.831,83.898,83.898,83.898,87.955,87.955,94.958,94.958,94.958,89.356,89.356,89.356,85.876,85.876,85.876,87.006,87.288,90.113,87.288,87.288,87.288,87.006,88.701,88.701,88.701,85.028,85.028,85.028,87.006,87.288,87.288,88.796,87.955
RMNH.INS.1271315_Cx_modestus - ND3 CDS,84.746,84.746,85.311,84.746,85.028,85.028,88.136,88.136,88.136,88.235,88.235,87.955,83.898,84.463,84.181,97.759,98.880,,93.785,93.785,93.785,87.955,88.235,88.235,88.235,88.235,88.235,88.418,88.136,87.571,88.418,87.288,87.288,89.831,89.548,89.548,85.876,85.876,85.876,86.158,89.831,86.158,87.288,87.288,87.288,87.955,88.235,89.548,89.548,89.266,83.051,83.051,83.051,88.235,88.235,94.118,94.118,94.118,89.076,89.076,89.076,85.311,85.311,85.311,87.571,87.853,89.548,87.006,87.006,87.006,86.723,87.571,87.571,87.571,85.028,85.028,85.028,86.441,86.723,86.723,88.235,87.675
RMNH.INS.1271316_Cx_territans - ND3 CDS,84.181,83.898,84.463,84.746,85.028,85.028,88.983,88.983,88.983,90.678,90.678,90.395,84.463,85.028,84.746,94.068,94.068,93.785,,100.000,100.000,87.288,87.571,87.571,87.853,87.853,87.853,88.701,88.418,88.136,88.701,87.853,87.853,89.548,89.831,89.266,86.441,87.006,87.006,87.006,89.548,87.006,89.266,89.266,89.266,90.395,90.678,90.395,90.960,90.395,83.616,83.616,83.616,90.678,90.678,94.915,94.915,94.915,89.266,89.266,89.266,86.158,86.158,86.158,88.418,88.701,90.960,87.853,87.853,87.853,87.006,88.418,88.418,88.418,86.723,86.723,87.288,88.701,88.983,88.983,87.571,88.136
RMNH.INS.1271317_Cx_territans - ND3 CDS,84.181,83.898,84.463,84.746,85.028,85.028,88.983,88.983,88.983,90.678,90.678,90.395,84.463,85.028,84.746,94.068,94.068,93.785,100.000,,100.000,87.288,87.571,87.571,87.853,87.853,87.853,88.701,88.418,88.136,88.701,87.853,87.853,89.548,89.831,89.266,86.441,87.006,87.006,87.006,89.548,87.006,89.266,89.266,89.266,90.395,90.678,90.395,90.960,90.395,83.616,83.616,83.616,90.678,90.678,94.915,94.915,94.915,89.266,89.266,89.266,86.158,86.158,86.158,88.418,88.701,90.960,87.853,87.853,87.853,87.006,88.418,88.418,88.418,86.723,86.723,87.288,88.701,88.983,88.983,87.571,88.136
RMNH.INS.1271318_Cx_territans - ND3 CDS,84.181,83.898,84.463,84.746,85.028,85.028,88.983,88.983,88.983,90.678,90.678,90.395,84.463,85.028,84.746,94.068,94.068,93.785,100.000,100.000,,87.288,87.571,87.571,87.853,87.853,87.853,88.701,88.418,88.136,88.701,87.853,87.853,89.548,89.831,89.266,86.441,87.006,87.006,87.006,89.548,87.006,89.266,89.266,89.266,90.395,90.678,90.395,90.960,90.395,83.616,83.616,83.616,90.678,90.678,94.915,94.915,94.915,89.266,89.266,89.266,86.158,86.158,86.158,88.418,88.701,90.960,87.853,87.853,87.853,87.006,88.418,88.418,88.418,86.723,86.723,87.288,88.701,88.983,88.983,87.571,88.136
RMNH.INS.1271319_Ae_cinereus_geminus - ND3 CDS,84.181,83.616,84.181,85.593,85.593,85.593,91.243,91.243,91.243,88.796,88.796,88.796,83.333,83.898,83.616,88.796,88.515,87.955,87.288,87.288,87.288,,99.720,99.720,89.356,89.356,89.356,93.220,92.938,94.068,93.220,93.220,93.220,92.655,92.938,92.373,90.395,90.395,90.395,89.548,92.655,89.548,91.525,91.525,91.525,87.115,88.796,93.220,93.220,92.938,83.616,83.616,83.616,88.796,88.796,88.796,88.796,88.796,87.115,87.115,87.115,91.243,91.243,91.243,91.243,91.525,93.220,92.655,92.655,92.655,90.960,91.808,91.808,91.808,87.571,87.571,88.136,90.960,90.960,90.960,99.720,87.115
RMNH.INS.1271320_Ae_cinereus_geminus - ND3 CDS,84.463,83.898,84.463,85.311,85.311,85.311,91.525,91.525,91.525,89.076,89.076,89.076,83.051,83.616,83.333,89.076,88.796,88.235,87.571,87.571,87.571,99.720,,100.000,89.636,89.636,89.636,93.503,93.220,93.785,93.503,93.503,93.503,92.938,93.220,92.655,90.113,90.113,90.113,89.266,92.938,89.266,91.808,91.808,91.808,87.395,89.076,93.503,93.503,93.220,83.333,83.333,83.333,89.076,89.076,89.076,89.076,89.076,87.395,87.395,87.395,90.960,90.960,90.960,90.960,91.243,93.503,92.938,92.938,92.938,90.678,92.090,92.090,92.090,87.288,87.288,87.853,90.678,90.678,90.678,100.000,86.835
RMNH.INS.1271321_Ae_cinereus_geminus - ND3 CDS,84.463,83.898,84.463,85.311,85.311,85.311,91.525,91.525,91.525,89.076,89.076,89.076,83.051,83.616,83.333,89.076,88.796,88.235,87.571,87.571,87.571,99.720,100.000,,89.636,89.636,89.636,93.503,93.220,93.785,93.503,93.503,93.503,92.938,93.220,92.655,90.113,90.113,90.113,89.266,92.938,89.266,91.808,91.808,91.808,87.395,89.076,93.503,93.503,93.220,83.333,83.333,83.333,89.076,89.076,89.076,89.076,89.076,87.395,87.395,87.395,90.960,90.960,90.960,90.960,91.243,93.503,92.938,92.938,92.938,90.678,92.090,92.090,92.090,87.288,87.288,87.853,90.678,90.678,90.678,100.000,86.835
RMNH.INS.1271322_Cs_longiareolata - ND3 CDS,83.616,83.616,84.181,86.723,86.723,86.723,88.983,88.983,88.983,89.076,89.076,89.076,85.028,85.593,85.311,88.796,88.515,88.235,87.853,87.853,87.853,89.356,89.636,89.636,,100.000,100.000,89.548,89.266,89.266,89.548,89.548,89.548,90.395,90.678,90.113,88.136,88.136,88.136,87.288,90.395,87.288,89.831,89.831,89.831,88.235,89.076,90.395,90.395,90.113,83.616,83.616,83.616,89.076,89.076,89.076,89.076,89.076,88.235,88.235,88.235,88.701,88.701,88.701,88.983,89.266,90.395,89.266,89.266,89.266,87.288,90.678,90.678,90.678,86.441,86.441,87.006,90.395,90.113,90.678,89.636,87.675
RMNH.INS.1271323_Cs_longiareolata - ND3 CDS,83.616,83.616,84.181,86.723,86.723,86.723,88.983,88.983,88.983,89.076,89.076,89.076,85.028,85.593,85.311,88.796,88.515,88.235,87.853,87.853,87.853,89.356,89.636,89.636,100.000,,100.000,89.548,89.266,89.266,89.548,89.548,89.548,90.395,90.678,90.113,88.136,88.136,88.136,87.288,90.395,87.288,89.831,89.831,89.831,88.235,89.076,90.395,90.395,90.113,83.616,83.616,83.616,89.076,89.076,89.076,89.076,89.076,88.235,88.235,88.235,88.701,88.701,88.701,88.983,89.266,90.395,89.266,89.266,89.266,87.288,90.678,90.678,90.678,86.441,86.441,87.006,90.395,90.113,90.678,89.636,87.675
