,RMNH.INS.1271298_An_messeae - CYTB CDS,RMNH.INS.1271299_An_messeae - CYTB CDS,RMNH.INS.1271300_An_messeae - CYTB CDS,RMNH.INS.1271301_Cq_richiardii - CYTB CDS,RMNH.INS.1271302_Cq_richiardii - CYTB CDS,RMNH.INS.1271303_Cq_richiardii - CYTB CDS,RMNH.INS.1271304_Ae_vexans - CYTB CDS,RMNH.INS.1271305_Ae_vexans - CYTB CDS,RMNH.INS.1271306_Ae_vexans - CYTB CDS,RMNH.INS.1271307_Cs_annulata - CYTB CDS,RMNH.INS.1271308_Cs_annulata - CYTB CDS,RMNH.INS.1271309_Cs_annulata - CYTB CDS,RMNH.INS.1271310_An_claviger - CYTB CDS,RMNH.INS.1271311_An_claviger - CYTB CDS,RMNH.INS.1271312_An_claviger - CYTB CDS,RMNH.INS.1271313_Cx_modestus - CYTB CDS,RMNH.INS.1271314_Cx_modestus - CYTB CDS,RMNH.INS.1271315_Cx_modestus - CYTB CDS,RMNH.INS.1271316_Cx_territans - CYTB CDS,RMNH.INS.1271317_Cx_territans - CYTB CDS,RMNH.INS.1271318_Cx_territans - CYTB CDS,RMNH.INS.1271319_Ae_cinereus_geminus - CYTB CDS,RMNH.INS.1271320_Ae_cinereus_geminus - CYTB CDS,RMNH.INS.1271321_Ae_cinereus_geminus - CYTB CDS,RMNH.INS.1271322_Cs_longiareolata - CYTB CDS,RMNH.INS.1271323_Cs_longiareolata - CYTB CDS,RMNH.INS.1271324_Cs_longiareolata - CYTB CDS,RMNH.INS.1271325_Ae_annulipes_cantans - CYTB CDS,RMNH.INS.1271326_Ae_annulipes_cantans - CYTB CDS,RMNH.INS.1271327_Ae_annulipes_cantans - CYTB CDS,RMNH.INS.1271328_Ae_annulipes_cantans - CYTB CDS,RMNH.INS.1271329_Ae_annulipes_cantans - CYTB CDS,RMNH.INS.1271330_Ae_annulipes_cantans - CYTB CDS,RMNH.INS.1271331_Ae_rusticus - CYTB CDS,RMNH.INS.1271332_Ae_rusticus - CYTB CDS,RMNH.INS.1271333_Ae_rusticus - CYTB CDS,RMNH.INS.1271334_Ae_communis - CYTB CDS,RMNH.INS.1271335_Ae_communis - CYTB CDS,RMNH.INS.1271336_Ae_communis - CYTB CDS,RMNH.INS.1271337_Ae_punctor - CYTB CDS,RMNH.INS.1271338_Ae_rusticus - CYTB CDS,RMNH.INS.1271339_Ae_punctor - CYTB CDS,RMNH.INS.1271340_Ae_geniculatus - CYTB CDS,RMNH.INS.1271341_Ae_geniculatus - CYTB CDS,RMNH.INS.1271342_Ae_geniculatus - CYTB CDS,RMNH.INS.1271344_Cs_subochrea - CYTB CDS,RMNH.INS.1271345_Cs_annulata - CYTB CDS,RMNH.INS.1271346_Ae_caspius - CYTB CDS,RMNH.INS.1271347_Ae_caspius - CYTB CDS,RMNH.INS.1271348_Ae_caspius - CYTB CDS,RMNH.INS.1271349_An_plumbeus - CYTB CDS,RMNH.INS.1271350_An_plumbeus - CYTB CDS,RMNH.INS.1271351_An_plumbeus - CYTB CDS,RMNH.INS.1271352_Cs_annulata - CYTB CDS,RMNH.INS.1271354_Cs_annulata - CYTB CDS,RMNH.INS.1271355_Cx_pipiens - CYTB CDS,RMNH.INS.1271356_Cx_pipiens - CYTB CDS,RMNH.INS.1271357_Cx_pipiens - CYTB CDS,RMNH.INS.1271358_Cs_morsitans - CYTB CDS,RMNH.INS.1271359_Cs_morsitans - CYTB CDS,RMNH.INS.1271360_Cs_morsitans - CYTB CDS,RMNH.INS.1271361_Ae_sticticus - CYTB CDS,RMNH.INS.1271362_Ae_sticticus - CYTB CDS,RMNH.INS.1271363_Ae_sticticus - CYTB CDS,RMNH.INS.1271367_Ae_detritus - CYTB CDS,RMNH.INS.1271368_Ae_detritus - CYTB CDS,RMNH.INS.1271369_Ae_caspius - CYTB CDS,RMNH.INS.1271370_Ae_flavescens - CYTB CDS,RMNH.INS.1271371_Ae_flavescens - CYTB CDS,RMNH.INS.1271372_Ae_flavescens - CYTB CDS,RMNH.INS.1271375_Ae_leucomelas - CYTB CDS,RMNH.INS.1271376_Ae_albopictus - CYTB CDS,RMNH.INS.1271377_Ae_albopictus - CYTB CDS,RMNH.INS.1271378_Ae_albopictus - CYTB CDS,RMNH.INS.1271379_Ae_japonicus - CYTB CDS,RMNH.INS.1271380_Ae_japonicus - CYTB CDS,RMNH.INS.1271381_Ae_japonicus - CYTB CDS,RMNH.INS.1271382_Ae_aegypti - CYTB CDS,RMNH.INS.1271383_Ae_aegypti - CYTB CDS,RMNH.INS.1271384_Ae_aegypti - CYTB CDS,RMNH.INS.1271386_Ae_cinereus_geminus - CYTB CDS,RMNH.INS.1271389_Cs_ochroptera - CYTB CDS
RMNH.INS.1271308_Cs_annulata - CYTB CDS,87.159,86.983,86.719,86.280,86.104,86.104,89.886,89.886,89.886,99.560,,99.912,85.576,85.576,85.664,88.478,88.566,88.391,89.182,89.182,89.182,87.687,87.687,87.687,90.765,90.765,90.765,89.006,88.830,89.182,89.006,88.566,88.391,89.270,89.270,89.182,89.006,88.918,88.918,86.807,89.182,86.807,87.863,87.863,87.863,96.482,100.000,89.094,89.270,89.182,85.752,85.752,85.752,100.000,100.000,89.182,89.182,88.918,88.215,88.215,88.215,87.863,87.863,87.951,87.863,88.478,89.270,89.270,89.270,89.006,88.039,89.710,89.710,89.622,87.775,87.775,87.687,86.456,86.544,86.807,87.599,90.941
RMNH.INS.1271309_Cs_annulata - CYTB CDS,87.071,86.895,86.631,86.192,86.016,86.016,89.798,89.798,89.798,99.472,99.912,,85.488,85.488,85.576,88.391,88.478,88.303,89.094,89.094,89.094,87.599,87.599,87.599,90.853,90.853,90.853,88.918,88.742,89.094,88.918,88.478,88.303,89.182,89.182,89.094,88.918,88.830,88.830,86.719,89.094,86.719,87.951,87.951,87.951,96.394,99.912,89.006,89.182,89.094,85.664,85.664,85.664,99.912,99.912,89.094,89.094,88.830,88.303,88.303,88.303,87.951,87.951,88.039,87.775,88.391,89.182,89.182,89.182,88.918,88.127,89.622,89.622,89.534,87.863,87.863,87.775,86.368,86.456,86.719,87.511,90.853
RMNH.INS.1271310_An_claviger - CYTB CDS,89.798,89.710,89.710,83.641,83.553,83.553,87.423,87.511,87.423,85.576,85.576,85.488,,99.472,99.912,84.872,84.960,84.960,85.664,85.664,85.664,84.697,84.872,84.697,86.631,86.631,86.631,85.840,86.016,86.016,85.840,86.104,85.928,86.631,86.719,86.544,85.312,85.224,85.224,83.993,86.544,83.993,85.488,85.488,85.488,85.224,85.576,87.247,87.423,87.335,89.710,89.710,89.710,85.576,85.576,84.960,84.960,84.785,83.993,83.993,83.993,85.928,85.928,85.928,84.609,85.048,87.423,86.016,86.016,85.752,85.048,86.368,86.456,86.456,86.192,86.192,86.192,85.928,85.488,85.928,84.785,87.599
RMNH.INS.1271311_An_claviger - CYTB CDS,89.974,89.886,89.886,83.553,83.465,83.465,87.247,87.335,87.247,85.576,85.576,85.488,99.472,,99.560,84.609,84.697,84.697,85.488,85.488,85.488,84.697,84.872,84.697,86.631,86.631,86.631,85.752,85.928,85.928,85.752,86.016,85.840,86.631,86.719,86.544,85.312,85.224,85.224,83.905,86.544,83.905,85.400,85.400,85.400,85.224,85.576,87.159,87.335,87.247,89.622,89.622,89.622,85.576,85.576,84.785,84.785,84.609,83.993,83.993,83.993,86.016,86.016,86.016,84.521,84.960,87.335,85.928,85.928,85.664,85.048,86.368,86.456,86.456,86.192,86.192,86.192,85.840,85.400,85.840,84.785,87.247
RMNH.INS.1271312_An_claviger - CYTB CDS,89.710,89.622,89.622,83.641,83.553,83.553,87.511,87.599,87.511,85.664,85.664,85.576,99.912,99.560,,84.785,84.872,84.872,85.576,85.576,85.576,84.609,84.785,84.609,86.719,86.719,86.719,85.928,86.104,86.104,85.928,86.192,86.016,86.719,86.807,86.631,85.400,85.312,85.312,84.081,86.631,84.081,85.576,85.576,85.576,85.312,85.664,87.335,87.511,87.423,89.798,89.798,89.798,85.664,85.664,84.872,84.872,84.697,83.905,83.905,83.905,85.928,85.928,85.928,84.609,85.048,87.511,86.104,86.104,85.840,85.136,86.456,86.544,86.544,86.280,86.280,86.280,86.016,85.576,86.016,84.697,87.511
RMNH.INS.1271313_Cx_modestus - CYTB CDS,85.928,85.664,85.840,86.104,86.016,86.016,87.687,87.599,87.687,88.303,88.478,88.391,84.872,84.609,84.785,,97.801,97.801,89.534,89.534,89.534,86.104,86.104,86.280,87.247,87.247,87.247,87.335,87.511,87.687,87.335,87.159,86.983,86.895,86.895,86.807,87.599,87.511,87.511,86.544,86.807,86.544,86.983,86.983,86.983,87.775,88.478,87.423,87.599,87.511,84.872,84.872,84.872,88.478,88.478,91.381,91.381,91.117,86.368,86.368,86.368,86.807,86.807,86.807,87.687,88.303,87.599,88.039,88.039,87.951,87.247,87.335,87.423,87.335,86.192,86.192,86.456,86.104,85.928,86.456,86.104,89.358
RMNH.INS.1271314_Cx_modestus - CYTB CDS,86.368,86.280,86.104,86.368,86.104,86.104,88.215,88.303,88.215,88.215,88.566,88.478,84.960,84.697,84.872,97.801,,99.296,89.710,89.710,89.710,85.576,85.400,85.576,87.687,87.687,87.687,87.687,87.863,88.391,87.687,87.423,87.247,87.423,87.423,87.335,88.478,88.391,88.391,86.719,87.335,86.719,87.335,87.335,87.335,88.215,88.566,88.303,88.478,88.391,85.136,85.136,85.136,88.566,88.566,91.645,91.645,91.381,86.368,86.368,86.368,87.071,87.071,87.071,88.391,88.478,88.478,88.478,88.478,88.391,87.423,87.511,87.599,87.511,86.807,86.807,86.895,86.280,86.192,86.280,85.312,89.798
RMNH.INS.1271315_Cx_modestus - CYTB CDS,86.192,86.104,85.840,86.368,86.192,86.192,87.951,88.039,87.951,88.215,88.391,88.303,84.960,84.697,84.872,97.801,99.296,,89.534,89.534,89.534,85.664,85.576,85.664,87.687,87.687,87.687,87.335,87.511,88.039,87.335,87.071,86.895,87.247,87.247,87.159,88.127,88.039,88.039,86.456,87.159,86.456,86.895,86.895,86.895,88.215,88.391,88.039,88.215,88.127,85.312,85.312,85.312,88.391,88.391,91.381,91.381,91.117,86.192,86.192,86.192,86.719,86.719,86.719,88.039,88.127,88.215,88.127,88.127,88.039,87.335,87.423,87.511,87.423,86.807,86.807,86.895,85.928,85.840,85.928,85.400,89.446
RMNH.INS.1271316_Cx_territans - CYTB CDS,86.016,86.104,86.016,86.016,85.664,85.664,88.566,88.654,88.566,88.830,89.182,89.094,85.664,85.488,85.576,89.534,89.710,89.534,,99.824,100.000,87.511,87.335,87.511,89.094,89.094,89.094,88.303,88.039,88.039,88.215,87.863,87.687,88.039,88.039,87.951,87.335,87.423,87.423,86.895,87.951,86.895,88.303,88.303,88.303,88.391,89.182,88.127,88.303,88.215,84.872,84.872,84.872,89.182,89.182,90.501,90.501,90.237,87.863,87.863,87.863,87.687,87.687,87.775,86.983,87.511,88.303,88.391,88.391,88.303,88.215,87.687,87.775,87.775,88.127,88.127,88.215,86.719,86.456,86.456,87.247,89.798
RMNH.INS.1271317_Cx_territans - CYTB CDS,86.016,86.104,86.016,86.016,85.664,85.664,88.566,88.654,88.566,88.830,89.182,89.094,85.664,85.488,85.576,89.534,89.710,89.534,99.824,,99.824,87.511,87.335,87.511,89.182,89.182,89.182,88.303,88.039,88.039,88.215,87.863,87.687,88.039,88.039,87.951,87.335,87.423,87.423,86.983,87.951,86.983,88.303,88.303,88.303,88.391,89.182,88.127,88.303,88.215,84.872,84.872,84.872,89.182,89.182,90.501,90.501,90.237,87.951,87.951,87.951,87.687,87.687,87.775,86.983,87.511,88.303,88.391,88.391,88.303,88.215,87.687,87.775,87.775,88.127,88.127,88.215,86.719,86.456,86.456,87.247,89.798
RMNH.INS.1271318_Cx_territans - CYTB CDS,86.016,86.104,86.016,86.016,85.664,85.664,88.566,88.654,88.566,88.830,89.182,89.094,85.664,85.488,85.576,89.534,89.710,89.534,100.000,99.824,,87.511,87.335,87.511,89.094,89.094,89.094,88.303,88.039,88.039,88.215,87.863,87.687,88.039,88.039,87.951,87.335,87.423,87.423,86.895,87.951,86.895,88.303,88.303,88.303,88.391,89.182,88.127,88.303,88.215,84.872,84.872,84.872,89.182,89.182,90.501,90.501,90.237,87.863,87.863,87.863,87.687,87.687,87.775,86.983,87.511,88.303,88.391,88.391,88.303,88.215,87.687,87.775,87.775,88.127,88.127,88.215,86.719,86.456,86.456,87.247,89.798
RMNH.INS.1271319_Ae_cinereus_geminus - CYTB CDS,86.016,85.928,85.752,84.697,84.521,84.521,90.325,90.237,90.325,87.775,87.687,87.599,84.697,84.697,84.609,86.104,85.576,85.664,87.511,87.511,87.511,,99.736,99.824,86.895,86.895,86.895,87.687,87.335,87.071,87.599,87.335,87.159,88.918,88.830,88.830,86.807,86.895,86.895,86.631,88.830,86.631,87.423,87.423,87.423,87.335,87.687,88.039,88.215,88.127,84.521,84.521,84.521,87.687,87.687,87.159,87.071,86.895,86.544,86.544,86.544,87.599,87.599,87.599,87.071,87.599,88.215,86.983,86.983,86.895,87.951,89.974,90.062,90.062,86.456,86.456,86.544,88.478,87.951,88.303,99.560,88.830
RMNH.INS.1271320_Ae_cinereus_geminus - CYTB CDS,85.752,85.664,85.488,84.433,84.433,84.433,90.062,89.974,90.062,87.775,87.687,87.599,84.872,84.872,84.785,86.104,85.400,85.576,87.335,87.335,87.335,99.736,,99.736,86.807,86.807,86.807,87.511,87.159,86.895,87.423,87.159,86.983,88.830,88.742,88.742,86.544,86.631,86.631,86.544,88.742,86.544,87.159,87.159,87.159,87.335,87.687,87.863,88.039,87.951,84.433,84.433,84.433,87.687,87.687,86.895,86.807,86.631,86.544,86.544,86.544,87.599,87.599,87.599,86.807,87.335,88.039,86.807,86.807,86.719,87.687,89.798,89.886,89.886,86.544,86.544,86.631,88.303,87.775,88.303,99.472,88.830
RMNH.INS.1271321_Ae_cinereus_geminus - CYTB CDS,86.016,85.928,85.752,84.697,84.521,84.521,90.150,90.062,90.150,87.775,87.687,87.599,84.697,84.697,84.609,86.280,85.576,85.664,87.511,87.511,87.511,99.824,99.736,,86.807,86.807,86.807,87.511,87.159,86.895,87.423,87.159,86.983,88.830,88.742,88.742,86.631,86.719,86.719,86.807,88.742,86.807,87.335,87.335,87.335,87.335,87.687,87.863,88.039,87.951,84.609,84.609,84.609,87.687,87.687,86.983,86.895,86.719,86.719,86.719,86.719,87.775,87.775,87.775,86.895,87.423,88.039,86.807,86.807,86.719,87.775,89.798,89.886,89.886,86.456,86.456,86.544,88.478,87.951,88.478,99.560,88.918
RMNH.INS.1271322_Cs_longiareolata - CYTB CDS,87.159,87.071,86.631,87.159,86.895,86.895,89.886,89.974,89.886,90.853,90.765,90.853,86.631,86.631,86.719,87.247,87.687,87.687,89.094,89.182,89.094,86.895,86.807,86.807,,100.000,100.000,89.094,89.358,89.270,89.094,89.270,89.094,90.150,90.237,90.062,89.006,88.918,88.918,86.983,90.062,86.983,88.303,88.303,88.303,89.886,90.765,89.798,89.974,89.886,85.928,85.928,85.928,90.765,90.765,87.951,87.951,87.687,88.391,88.391,88.391,87.775,87.775,87.863,88.039,88.654,89.974,89.798,89.798,89.534,89.710,89.622,89.622,89.534,88.391,88.391,88.742,87.511,87.511,87.423,86.807,90.941
RMNH.INS.1271323_Cs_longiareolata - CYTB CDS,87.159,87.071,86.631,87.159,86.895,86.895,89.886,89.974,89.886,90.853,90.765,90.853,86.631,86.631,86.719,87.247,87.687,87.687,89.094,89.182,89.094,86.895,86.807,86.807,100.000,,100.000,89.094,89.358,89.270,89.094,89.270,89.094,90.150,90.237,90.062,89.006,88.918,88.918,86.983,90.062,86.983,88.303,88.303,88.303,89.886,90.765,89.798,89.974,89.886,85.928,85.928,85.928,90.765,90.765,87.951,87.951,87.687,88.391,88.391,88.391,87.775,87.775,87.863,88.039,88.654,89.974,89.798,89.798,89.534,89.710,89.622,89.622,89.534,88.391,88.391,88.742,87.511,87.511,87.423,86.807,90.941
